EIN2,CENSUS_REGION,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,CONGRESS_DISTRICT_NAME,SUBSECTOR,EXPENSE_CATEGORY,GOVERNMENT_GRANT_DOLLAR_AMOUNT,PROFIT_MARGIN,PROFIT_MARGIN_NOGOVTGRANT,AT_RISK_NUM
EIN-38-2708513,East North Central,Oakland County,Michigan,11th Congressional district,Unclassified,$1M to $4.9M,1778459,0.0117924779788167,-0.474457286546197,1
EIN-80-0612019,Mid-Atlantic,Kings County,New York,9th Congressional district,Human services,$500K to $999K,593890,-0.145079055043863,-1.14507905504386,1
EIN-90-0635302,West South Central,Tarrant County,Texas,12th Congressional district,Human services,$500K to $999K,1009480,0.0305274709601762,-0.969306134415163,1
EIN-20-0487886,East South Central,Putnam County,Tennessee,6th Congressional district,Human services,$100K to $499K,49130,-0.554844858237267,-1.00505837289005,1
EIN-22-2569027,New England,Middlesex County,Massachusetts,3rd Congressional district,Human services,$1M to $4.9M,324338,0.146595021473204,-0.117464737131343,1
EIN-93-0519716,Pacific,Klamath County,Oregon,2nd Congressional district,"Arts, culture, and humanities",$500K to $999K,159660,0.0954625202105336,-0.166082670296782,1
EIN-39-1647555,East North Central,Douglas County,Wisconsin,7th Congressional district,Unclassified,$100K to $499K,18000,0.0550604817079713,-0.00528712048063512,1
EIN-35-1381697,East North Central,St. Joseph County,Indiana,2nd Congressional district,"Arts, culture, and humanities",$500K to $999K,74269,0.0813943284009502,-0.0329506387053765,1
EIN-24-0795973,Mid-Atlantic,Luzerne County,Pennsylvania,9th Congressional district,Unclassified,$100K to $499K,48229,0.147371382417802,-0.0714713542848327,1
EIN-54-6053467,South Atlantic,Richmond city,Virginia,4th Congressional district,Unclassified,$100K to $499K,161150,0.239821247493212,-0.165668145367255,1
EIN-25-1550467,Mid-Atlantic,Erie County,Pennsylvania,16th Congressional district,Unclassified,$100K to $499K,128435,0.192999687177977,-0.102421610481378,1
EIN-64-0824344,East South Central,Hinds County,Mississippi,3rd Congressional district,Unclassified,$500K to $999K,70111,0.192486206861123,0.102444236676907,0
EIN-75-0851039,West South Central,Victoria County,Texas,27th Congressional district,Health,$5M to $9.9M,886577,0.0991187146791727,-0.0196294495050714,1
EIN-35-2038783,East North Central,Brown County,Indiana,9th Congressional district,Human services,$500K to $999K,209082,0.149107462694372,-0.124238787393875,1
EIN-91-0652651,Pacific,King County,Washington,1st Congressional district,Unclassified,$10M or more,4882240,-0.0159941073355851,-0.0229410366934622,1
EIN-33-0620701,Pacific,San Bernardino County,California,33rd Congressional district,Universities,$5M to $9.9M,132554,0.168999840646376,0.147290734544869,0
EIN-46-2349086,East South Central,Allen County,Kentucky,1st Congressional district,"Public, societal benefit",$100K to $499K,356524,0.55833140264639,0.226603098217534,0
EIN-87-0387940,Mountain,Cache County,Utah,1st Congressional district,"Arts, culture, and humanities",$100K to $499K,10000,0.325598074557186,0.298736428153154,0
EIN-27-1779772,West South Central,Denton County,Texas,26th Congressional district,"Public, societal benefit",$500K to $999K,82701,0.0110940602890292,-0.0866047875400625,1
EIN-04-2105745,New England,Bristol County,Massachusetts,9th Congressional district,Health,$10M or more,756851,0.0283180388059854,0.00969599720255157,0
EIN-23-7324726,Pacific,Inyo County,California,3rd Congressional district,Unclassified,$100K to $499K,133671,0.237117343516639,-0.0617437420070293,1
EIN-46-5664355,Pacific,Ventura County,California,24th Congressional district,Environment and animals,Less than $100K,1500,0.915769143708334,0.913030938072741,0
EIN-23-7062502,West South Central,Travis County,Texas,37th Congressional district,Human services,$1M to $4.9M,75000,-0.0641696352177341,-0.116596949988536,1
EIN-68-0205528,Pacific,Sacramento County,California,7th Congressional district,"Arts, culture, and humanities",$100K to $499K,140570,0.376870931466494,-0.179736129369466,1
EIN-27-1032748,Mid-Atlantic,Dauphin County,Pennsylvania,10th Congressional district,"Public, societal benefit",$100K to $499K,45189,0.0218107592185423,-0.120535629910098,1
EIN-94-2801050,Pacific,San Francisco County,California,11th Congressional district,Unclassified,$1M to $4.9M,1145661,0.184966105641954,-0.146869855165486,1
EIN-30-0151342,East North Central,Franklin County,Ohio,3rd Congressional district,Human services,$100K to $499K,128974,-0.239395082655387,-0.582062904177139,1
EIN-75-1822473,West South Central,Tarrant County,Texas,12th Congressional district,Human services,$10M or more,17906329,0.0835118069998661,-0.0473321114882233,1
EIN-95-4514156,Pacific,Los Angeles County,California,29th Congressional district,Human services,$1M to $4.9M,615890,-0.0144031119304776,-0.620617326846208,1
EIN-45-0700087,East South Central,Jefferson County,Kentucky,3rd Congressional district,Health,$100K to $499K,358128,0.180765190077149,-0.452639007290388,1
EIN-23-1472523,Mid-Atlantic,Delaware County,Pennsylvania,5th Congressional district,Education,$1M to $4.9M,123219,0.0899579825441013,0.0587484527449893,0
EIN-81-1820922,East North Central,Dane County,Wisconsin,2nd Congressional district,Education,$100K to $499K,3131,0.110620285543137,0.101731484977615,0
