Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Indiana,65.53%,"2,106","$3,408,980,939",9.93%,-11.73%
Adams County,50.00%,2,"$432,352",12.24%,7.56%
Allen County,54.33%,127,"$196,227,970",11.70%,-0.79%
Bartholomew County,70.73%,41,"$36,247,781",4.06%,-28.97%
Blackford County,100.00%,1,"$25,000",-16.68%,-104.61%
Boone County,68.42%,19,"$5,562,096",8.45%,-13.57%
Brown County,62.50%,8,"$1,113,688",15.00%,-8.87%
Carroll County,0.00%,2,"$1,193,022",32.95%,26.14%
Cass County,71.43%,7,"$10,420,398",9.22%,-4.88%
Clark County,71.43%,21,"$46,516,597",10.53%,-21.65%
Clay County,80.00%,5,"$154,991",0.83%,-8.19%
Clinton County,87.50%,8,"$1,782,111",10.83%,-13.12%
Crawford County,100.00%,1,"$235,200",20.60%,-73.89%
Daviess County,40.00%,10,"$2,945,674",15.58%,3.14%
DeKalb County,53.85%,13,"$6,691,226",17.27%,-6.31%
Dearborn County,76.00%,25,"$28,673,893",11.59%,-46.87%
Decatur County,60.00%,10,"$1,534,507",24.36%,-3.65%
Delaware County,72.97%,37,"$53,909,361",15.38%,-14.76%
Dubois County,71.43%,14,"$7,366,249",13.90%,-19.80%
Elkhart County,57.14%,63,"$174,901,190",9.68%,-4.27%
Fayette County,50.00%,4,"$806,328",8.56%,-29.50%
Floyd County,77.27%,22,"$17,761,010",13.29%,-24.57%
Fountain County,100.00%,1,"$7,400,663",-0.94%,-78.05%
Franklin County,40.00%,5,"$3,382,020",28.09%,6.02%
Fulton County,85.71%,7,"$999,486",8.54%,-37.20%
Gibson County,60.00%,5,"$6,286,651",6.03%,-16.26%
Grant County,58.82%,17,"$44,709,455",16.67%,-9.49%
Greene County,25.00%,4,"$904,150",31.72%,16.66%
Hamilton County,60.44%,91,"$74,966,256",11.42%,-6.35%
Hancock County,63.64%,11,"$9,158,080",7.06%,-31.87%
Harrison County,71.43%,14,"$8,780,882",6.54%,-23.80%
Hendricks County,57.69%,26,"$21,770,389",8.90%,-6.24%
Henry County,33.33%,3,"$69,829",19.92%,12.07%
Howard County,61.11%,18,"$20,887,211",10.98%,-13.01%
Huntington County,69.23%,13,"$17,726,588",10.13%,-10.73%
Jackson County,80.00%,15,"$3,741,378",9.07%,-19.11%
Jasper County,71.43%,7,"$1,887,451",1.08%,-39.62%
Jay County,100.00%,3,"$1,088,001",3.04%,-19.27%
Jefferson County,72.73%,11,"$26,256,316",7.64%,-10.78%
Jennings County,50.00%,4,"$103,784",0.92%,-1.90%
Johnson County,70.83%,24,"$17,714,571",13.19%,-12.14%
Knox County,64.29%,14,"$18,211,010",7.48%,-14.73%
Kosciusko County,51.43%,35,"$36,334,961",14.05%,-3.01%
LaGrange County,58.33%,12,"$3,619,693",8.93%,-2.34%
LaPorte County,84.21%,19,"$22,383,250",5.13%,-32.44%
Lake County,69.37%,111,"$333,846,086",10.03%,-15.60%
Lawrence County,88.24%,17,"$19,693,179",6.59%,-29.54%
Madison County,71.43%,21,"$34,037,875",7.59%,-8.56%
Marion County,65.60%,500,"$1,182,144,574",9.29%,-12.81%
Marshall County,54.55%,11,"$3,941,402",18.59%,-0.39%
Miami County,57.14%,7,"$8,492,856",-11.41%,-30.57%
Monroe County,66.67%,63,"$49,080,196",5.36%,-9.96%
Montgomery County,40.00%,10,"$3,611,302",8.93%,2.56%
Morgan County,76.92%,13,"$2,702,512",13.03%,-32.37%
Newton County,100.00%,2,"$543,774",6.74%,-66.98%
Noble County,52.94%,17,"$12,746,398",15.29%,-3.63%
Ohio County,60.00%,5,"$1,033,333",22.24%,-17.87%
Orange County,83.33%,6,"$2,970,252",10.57%,-29.08%
Owen County,100.00%,2,"$621,700",-3.01%,-16.96%
Parke County,100.00%,3,"$2,234,375",0.80%,-18.45%
Perry County,100.00%,4,"$7,969,385",-2.02%,-27.80%
Pike County,100.00%,1,"$915,704",79.25%,-2.40%
Porter County,67.39%,46,"$105,790,110",10.76%,-10.36%
Posey County,50.00%,6,"$776,018",16.27%,4.87%
Pulaski County,100.00%,2,"$373,517",-4.32%,-50.78%
Putnam County,60.00%,5,"$4,306,140",10.66%,-12.37%
Randolph County,60.00%,5,"$1,077,492",-4.85%,-74.97%
Ripley County,84.62%,13,"$6,406,620",17.19%,-9.99%
Rush County,100.00%,5,"$3,456,682",14.62%,-56.64%
Scott County,66.67%,6,"$476,885",-0.11%,-9.10%
Shelby County,70.00%,10,"$5,010,485",2.39%,-15.26%
Spencer County,66.67%,3,"$243,865",23.67%,-32.59%
St. Joseph County,66.96%,112,"$312,204,448",4.74%,-13.29%
Starke County,100.00%,5,"$1,566,839",0.97%,-64.70%
Steuben County,50.00%,12,"$10,842,347",12.40%,-2.13%
Sullivan County,100.00%,3,"$7,771,086",13.13%,-65.56%
Switzerland County,90.00%,10,"$2,320,175",9.89%,-50.95%
Tippecanoe County,74.55%,55,"$74,297,546",6.48%,-15.96%
Tipton County,33.33%,3,"$57,200",64.80%,63.96%
Union County,100.00%,4,"$1,868,724",5.66%,-50.67%
Vanderburgh County,60.44%,91,"$116,818,412",10.18%,-10.45%
Vermillion County,50.00%,2,"$7,931,798",16.55%,-4.50%
Vigo County,78.57%,42,"$64,276,050",6.26%,-20.26%
Wabash County,53.33%,15,"$10,501,327",18.81%,-1.41%
Warren County,100.00%,1,"$10,317",-20.76%,-53.42%
Warrick County,77.78%,9,"$3,300,475",15.86%,-22.38%
Washington County,0.00%,1,"$158,602",22.07%,5.56%
Wayne County,48.00%,25,"$49,572,990",16.52%,0.44%
Wells County,55.56%,9,"$3,407,629",8.13%,-1.33%
White County,83.33%,6,"$1,560,804",10.58%,-14.57%
Whitley County,25.00%,8,"$3,128,734",17.16%,7.36%
