Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Lorain County,65.52%,58,"$72,396,952",11.56%,-4.95%
Lucas County,76.56%,192,"$513,231,781",4.12%,-24.78%
Madison County,77.78%,9,"$8,903,363",-0.88%,-55.62%
Mahoning County,76.39%,72,"$145,138,587",7.94%,-31.90%
Marion County,91.18%,68,"$43,825,782",1.86%,-58.37%
Medina County,55.17%,29,"$4,242,662",7.77%,-5.53%
Meigs County,50.00%,2,"$204,324",16.72%,7.54%
Mercer County,69.23%,13,"$5,179,648",16.51%,-13.60%
Miami County,70.00%,30,"$25,580,593",5.55%,-10.85%
Monroe County,40.00%,5,"$74,166",2.24%,1.35%
Montgomery County,65.52%,174,"$413,263,713",8.75%,-14.05%
Morgan County,100.00%,5,"$10,478,671",5.47%,-25.61%
Morrow County,50.00%,4,"$845,368",9.19%,1.31%
Muskingum County,76.00%,25,"$45,266,965",7.35%,-14.43%
Noble County,80.00%,5,"$7,690,422",5.04%,-3.62%
Ottawa County,70.97%,31,"$17,610,590",13.26%,-14.14%
Paulding County,100.00%,3,"$731,250",3.13%,-26.88%
Perry County,42.86%,7,"$2,644,665",19.88%,4.87%
Pickaway County,80.00%,10,"$13,500,895",6.52%,-23.96%
Pike County,87.50%,8,"$17,285,490",9.01%,-24.67%
Portage County,67.74%,31,"$76,480,587",11.68%,-12.46%
Preble County,71.43%,7,"$2,252,572",12.63%,-16.45%
Putnam County,80.00%,10,"$3,634,719",5.45%,-10.29%
Richland County,78.26%,46,"$57,148,547",5.13%,-27.60%
Ross County,45.83%,24,"$48,610,329",8.60%,0.34%
Sandusky County,52.94%,17,"$65,136,721",13.88%,-0.36%
Scioto County,59.26%,27,"$45,242,987",11.46%,-8.81%
Seneca County,69.23%,26,"$28,972,770",11.53%,-10.51%
Shelby County,64.29%,14,"$7,798,425",15.04%,-13.49%
Stark County,67.50%,120,"$131,644,158",7.16%,-9.82%
Summit County,77.89%,199,"$395,412,671",6.00%,-30.92%
Trumbull County,63.33%,30,"$28,851,176",9.98%,-9.89%
Tuscarawas County,57.14%,21,"$21,921,572",16.63%,-3.96%
Union County,64.29%,14,"$12,112,944",6.27%,-9.56%
Van Wert County,66.67%,18,"$7,375,942",16.06%,-4.91%
Vinton County,100.00%,3,"$180,732",-1.74%,-56.22%
Warren County,52.94%,34,"$25,986,517",7.92%,-0.09%
Washington County,56.52%,23,"$46,109,811",15.94%,-5.75%
Wayne County,59.46%,37,"$35,229,517",10.70%,-2.29%
Williams County,50.00%,10,"$2,997,927",16.92%,-13.77%
Wood County,74.29%,35,"$22,442,077",0.85%,-18.46%
