NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
A01,AA-ART-A00,Alliance/Advocacy Organizations,NA,Unmapped
A0161,AA-ART-A61,Alliance/Advocacy Organizations,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A02,MT-ART-A00,Management and Technical Assistance,NA,Unmapped
A0226,MT-ART-A26,Management and Technical Assistance,"Providing support to organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.",Unmapped
A0254,MT-ART-A54,Management and Technical Assistance,"Providing support to organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.",Unmapped
A0261,MT-ART-A61,Management and Technical Assistance,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A0282,MT-ART-A82,Management and Technical Assistance,"Providing support to organizations that interpret, collect and preserve the historical heritage of a specific geographic location.",Unmapped
A0290,MT-ART-A90,Management and Technical Assistance,Providing support to organizations that provide services such as facilities or touring assistance for arts organizations.,Unmapped
A03,PA-ART-A00,Professional Societies/Associations,NA,Unmapped
A0320,PA-ART-A20,Professional Societies/Associations,"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.",Unmapped
A0325,PA-ART-A25,Professional Societies/Associations,Providing support to organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.,Unmapped
A0330,PA-ART-A30,Professional Societies/Associations,"Providing support to organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.",Unmapped
A0333,PA-ART-A33,Professional Societies/Associations,Providing support to organizations that publish a variety of materials on diverse topics. Includes university presses.,Unmapped
A0340,PA-ART-A40,Professional Societies/Associations,Providing support to organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.,Unmapped
A0350,PA-ART-A50,Professional Societies/Associations,"Providing support to organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.",Unmapped
A0360,PA-ART-A60,Professional Societies/Associations,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",Unmapped
A0361,PA-ART-A61,Professional Societies/Associations,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A0365,PA-ART-A65,Professional Societies/Associations,Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61),Unmapped
A0368,PA-ART-A68,Professional Societies/Associations,"Providing support to organizations whose primary activity is the production of musical events, including concert series and music festivals.",Unmapped
A0369,PA-ART-A69,Professional Societies/Associations,Providing support to organizations whose primary activity is the operation of a symphony,Unmapped
A0370,PA-ART-A70,Professional Societies/Associations,"Providing support to organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).",Unmapped
A0380,PA-ART-A80,Professional Societies/Associations,Providing support to organizations that promote awareness of and appreciation for history and historical artifacts.  Use this code for organizations that are not specified below.,Unmapped
A05,RP-ART-A00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
A0534,RP-ART-A34,Research Institutes and/or Public Policy Analysis,"Providing support to organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).",Unmapped
A0561,RP-ART-A61,Research Institutes and/or Public Policy Analysis,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A11,MS-ART-A00,Monetary Support - Single Organization,NA,Unmapped
A1120,MS-ART-A20,Monetary Support - Single Organization,"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.",Unmapped
A1132,MS-ART-A32,Monetary Support - Single Organization,"Providing support to organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.",Unmapped
A1140,MS-ART-A40,Monetary Support - Single Organization,Providing support to organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.,Unmapped
A1150,MS-ART-A50,Monetary Support - Single Organization,"Providing support to organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.",Unmapped
A1151,MS-ART-A51,Monetary Support - Single Organization,"Providing support to organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.",Unmapped
A1152,MS-ART-A52,Monetary Support - Single Organization,"Providing support to organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits.  NOTE:  See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.",Unmapped
A1154,MS-ART-A54,Monetary Support - Single Organization,"Providing support to organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.",Unmapped
A1160,MS-ART-A60,Monetary Support - Single Organization,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",Unmapped
A1161,MS-ART-A61,Monetary Support - Single Organization,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A1162,MS-ART-A62,Monetary Support - Single Organization,"Providing support to organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.",Unmapped
