Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Oregon,67.31%,"1,961","$3,508,813,229",11.60%,-13.87%
Baker County,63.64%,11,"$8,370,965",15.89%,-20.20%
Benton County,65.08%,63,"$53,502,044",11.51%,-7.61%
Clackamas County,62.28%,114,"$173,394,790",11.09%,-8.80%
Clatsop County,53.85%,39,"$23,250,093",24.07%,-1.21%
Columbia County,94.44%,18,"$44,485,048",4.95%,-70.49%
Coos County,68.00%,25,"$52,422,238",11.80%,-18.72%
Crook County,57.14%,14,"$28,687,031",8.18%,-4.45%
Curry County,81.82%,11,"$5,410,093",13.95%,-53.98%
Deschutes County,51.52%,99,"$131,182,305",17.61%,-1.02%
Douglas County,66.67%,33,"$59,017,036",9.43%,-18.45%
Gilliam County,100.00%,2,"$315,755",-132.37%,-194.39%
Grant County,100.00%,6,"$10,703,393",-1.82%,-83.16%
Harney County,66.67%,6,"$4,372,807",15.61%,-60.62%
Hood River County,60.00%,15,"$28,280,811",11.70%,-12.54%
Jackson County,77.57%,107,"$152,474,157",7.32%,-42.12%
Jefferson County,33.33%,3,"$326,500",15.10%,5.52%
Josephine County,60.00%,30,"$17,995,114",8.67%,-5.49%
Klamath County,73.53%,34,"$56,154,312",19.25%,-20.34%
Lake County,100.00%,9,"$2,649,730",4.89%,-53.13%
Lane County,68.85%,183,"$222,954,348",13.36%,-14.48%
Lincoln County,84.00%,25,"$20,749,964",20.48%,-33.66%
Linn County,70.27%,37,"$70,319,392",13.59%,-13.48%
Malheur County,60.00%,15,"$16,028,756",11.78%,-34.47%
Marion County,69.44%,108,"$207,408,739",12.32%,-11.18%
Morrow County,66.67%,6,"$4,286,253",-4.04%,-43.24%
Multnomah County,70.44%,636,"$1,685,249,391",11.55%,-15.62%
Polk County,59.09%,22,"$15,188,742",9.34%,-3.72%
Sherman County,100.00%,1,"$6,200",-39.52%,-52.67%
Tillamook County,68.42%,19,"$8,642,889",5.91%,-18.03%
Umatilla County,53.57%,28,"$48,599,494",13.75%,-4.45%
Union County,85.71%,14,"$28,047,222",8.74%,-28.67%
Wallowa County,66.67%,9,"$11,722,771",19.09%,-24.27%
Wasco County,66.67%,18,"$19,047,794",9.60%,-35.26%
Washington County,60.95%,169,"$259,765,728",9.49%,-7.08%
Wheeler County,100.00%,1,"$1,488,103",10.84%,-50.49%
Yamhill County,45.16%,31,"$36,313,221",12.24%,0.31%
