Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",61.16%,466,"$249,329,076",12.42%,-8.52%
Education (Excluding Universities),66.85%,727,"$1,293,276,094",12.26%,-9.75%
Environment and Animals,54.64%,183,"$118,438,206",18.80%,-3.30%
Health (Excluding Hospitals),68.35%,613,"$1,898,257,716",6.49%,-8.11%
Hospitals,53.97%,63,"$312,841,535",2.70%,-0.23%
Human Services,68.62%,"2,164","$2,993,679,161",9.74%,-15.90%
"International, Foreign Affairs",53.33%,30,"$11,446,616",12.56%,-2.31%
Mutual/Membership Benefit,66.67%,6,"$1,161,458",-5.88%,-45.68%
"Public, Societal Benefit",67.11%,456,"$637,832,046",11.54%,-14.11%
Religion Related,51.38%,109,"$63,795,389",14.22%,-0.47%
Unclassified,69.67%,"1,266","$3,185,271,453",8.78%,-13.73%
Universities,60.87%,92,"$2,437,833,364",5.70%,-2.37%
Total,66.87%,"6,175","$13,203,162,114",9.69%,-11.29%
