Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",60.64%,282,"$123,435,916",11.72%,-6.47%
Education (Excluding Universities),53.75%,253,"$203,749,851",14.96%,-2.76%
Environment and Animals,49.09%,110,"$106,608,211",19.84%,0.20%
Health (Excluding Hospitals),70.46%,281,"$255,513,213",9.18%,-15.11%
Hospitals,35.71%,14,"$98,830,010",3.14%,0.57%
Human Services,68.24%,825,"$586,900,772",10.10%,-17.30%
"International, Foreign Affairs",58.06%,62,"$705,044,341",8.00%,-7.67%
"Public, Societal Benefit",67.06%,252,"$722,402,697",11.13%,-18.48%
Religion Related,59.38%,64,"$58,143,434",8.20%,-3.04%
Unclassified,66.12%,614,"$1,406,672,934",10.19%,-10.97%
Universities,54.29%,35,"$304,534,489",6.48%,-1.19%
Total,64.29%,"2,792","$4,571,835,868",10.66%,-9.96%
