Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",76.47%,51,"$59,127,225",11.83%,-16.15%
Education (Excluding Universities),74.19%,31,"$40,766,737",8.09%,-45.57%
Environment and Animals,69.05%,42,"$19,223,496",14.09%,-10.97%
Health (Excluding Hospitals),78.95%,57,"$76,787,383",5.12%,-29.80%
Hospitals,100.00%,3,"$21,063,265",3.72%,-2.73%
Human Services,80.00%,165,"$124,867,243",6.08%,-26.31%
"International, Foreign Affairs",50.00%,2,"$140,761",18.94%,7.26%
Mutual/Membership Benefit,100.00%,1,"$37,000",4.13%,-8.73%
"Public, Societal Benefit",84.91%,53,"$136,387,682",3.92%,-46.42%
Religion Related,50.00%,4,"$4,055,383",17.91%,2.75%
Unclassified,81.16%,138,"$360,861,065",6.33%,-35.03%
Universities,100.00%,1,"$4,996,067",-0.85%,-23.06%
Total,79.01%,548,"$848,313,307",7.18%,-28.55%
