Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Tennessee,69.16%,"2,030","$3,759,003,111",8.54%,-16.99%
Congressional District 1,74.71%,257,"$257,254,521",5.15%,-25.96%
Congressional District 2,66.52%,224,"$344,465,243",11.28%,-7.68%
Congressional District 3,64.93%,268,"$348,429,485",9.88%,-13.14%
Congressional District 4,69.92%,123,"$96,416,248",6.56%,-30.43%
Congressional District 5,59.50%,200,"$217,235,611",9.07%,-6.15%
Congressional District 6,71.36%,199,"$252,466,418",7.62%,-30.30%
Congressional District 7,68.04%,316,"$1,242,802,120",11.69%,-13.10%
Congressional District 8,77.62%,143,"$148,757,691",6.16%,-20.65%
Congressional District 9,72.00%,300,"$851,175,774",8.49%,-22.31%
