Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.41%,82,"$15,970,715",14.60%,-8.14%
Education (Excluding Universities),74.68%,79,"$76,408,980",10.84%,-16.60%
Environment and Animals,61.11%,54,"$17,888,545",11.95%,-5.47%
Health (Excluding Hospitals),77.22%,79,"$143,030,753",8.87%,-18.30%
Hospitals,87.50%,8,"$79,380,406",-2.70%,-14.15%
Human Services,70.56%,231,"$184,613,607",9.06%,-19.80%
"International, Foreign Affairs",71.43%,7,"$1,603,032",0.37%,-8.67%
"Public, Societal Benefit",65.28%,72,"$72,209,600",16.31%,-21.25%
Religion Related,55.56%,9,"$1,389,314",14.87%,-5.41%
Unclassified,73.97%,146,"$288,254,450",8.71%,-21.42%
Universities,80.00%,5,"$62,995,026",15.05%,-9.69%
Total,70.47%,772,"$943,744,428",10.15%,-16.09%
