Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",73.78%,389,"$340,140,912",10.54%,-17.83%
Education (Excluding Universities),72.08%,591,"$2,743,600,857",5.89%,-15.85%
Environment and Animals,50.30%,167,"$103,271,326",15.22%,-0.40%
Health (Excluding Hospitals),72.68%,421,"$1,741,606,239",6.51%,-17.87%
Hospitals,45.83%,24,"$92,417,990",8.53%,2.21%
Human Services,72.81%,"1,247","$3,141,813,398",5.17%,-22.60%
"International, Foreign Affairs",52.00%,50,"$88,261,778",13.12%,-0.46%
Mutual/Membership Benefit,0.00%,2,"$724,199",30.50%,28.32%
"Public, Societal Benefit",64.86%,276,"$400,613,946",8.37%,-12.04%
Religion Related,48.42%,95,"$20,487,808",10.57%,0.27%
Unclassified,72.31%,679,"$2,688,625,352",6.05%,-19.27%
Universities,42.50%,40,"$1,056,425,737",7.16%,1.05%
Total,69.86%,"3,981","$12,417,989,542",7.10%,-16.26%
