Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Pennsylvania,66.87%,"6,175","$13,203,162,114",9.69%,-11.29%
Congressional District 1,69.51%,246,"$218,401,659",9.13%,-13.30%
Congressional District 10,62.94%,402,"$1,202,321,738",8.64%,-7.78%
Congressional District 11,60.19%,319,"$192,054,779",14.00%,-6.94%
Congressional District 12,67.46%,590,"$1,719,325,106",9.07%,-9.70%
Congressional District 13,67.30%,422,"$473,106,391",11.43%,-12.41%
Congressional District 14,64.99%,337,"$428,326,678",11.19%,-10.19%
Congressional District 15,64.60%,435,"$351,884,451",9.76%,-10.00%
Congressional District 16,73.35%,424,"$1,122,490,817",6.88%,-17.99%
Congressional District 17,69.08%,304,"$310,380,819",10.27%,-13.36%
Congressional District 2,70.57%,299,"$1,532,811,321",8.72%,-12.62%
Congressional District 3,69.43%,530,"$3,113,157,372",9.55%,-11.94%
Congressional District 4,61.34%,313,"$282,238,031",10.57%,-7.73%
Congressional District 5,66.67%,285,"$519,462,481",9.00%,-11.06%
Congressional District 6,63.41%,317,"$278,617,267",10.93%,-8.80%
Congressional District 7,70.98%,286,"$659,359,235",7.72%,-14.24%
Congressional District 8,69.46%,298,"$384,202,867",10.88%,-13.69%
Congressional District 9,64.67%,368,"$415,021,102",10.36%,-8.97%
