Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Massachusetts,60.30%,"3,018","$10,165,747,853",11.74%,-5.38%
Barnstable County,65.56%,151,"$423,474,552",12.61%,-10.35%
Berkshire County,49.58%,119,"$111,463,153",15.33%,0.77%
Bristol County,66.67%,147,"$367,318,906",10.77%,-8.84%
Dukes County,46.67%,30,"$12,840,897",24.19%,5.07%
Essex County,62.36%,271,"$573,711,863",11.25%,-6.04%
Franklin County,74.29%,35,"$34,705,521",7.03%,-25.52%
Hampden County,64.71%,153,"$642,620,761",11.47%,-12.38%
Hampshire County,62.50%,96,"$184,336,565",13.59%,-8.33%
Middlesex County,55.41%,702,"$3,522,554,953",13.29%,-2.31%
Nantucket County,38.71%,31,"$7,595,704",31.06%,6.40%
Norfolk County,59.01%,222,"$573,629,276",11.38%,-2.72%
Plymouth County,55.08%,118,"$198,197,463",11.61%,-2.82%
Suffolk County,63.23%,718,"$2,909,376,536",10.84%,-7.96%
Worcester County,64.44%,225,"$603,921,703",8.82%,-6.77%
