Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",58.73%,63,"$28,568,314",19.67%,-2.35%
Education (Excluding Universities),68.29%,82,"$74,378,415",7.19%,-12.89%
Environment and Animals,34.62%,26,"$6,959,923",30.08%,13.73%
Health (Excluding Hospitals),78.57%,42,"$77,536,872",5.19%,-17.02%
Hospitals,100.00%,2,"$5,765,668",5.24%,-35.54%
Human Services,65.36%,153,"$158,026,958",7.86%,-16.79%
"International, Foreign Affairs",60.00%,5,"$19,732,448",2.05%,-15.04%
Mutual/Membership Benefit,100.00%,2,"$192,493",1.68%,-11.58%
"Public, Societal Benefit",73.53%,34,"$37,515,527",5.20%,-38.05%
Religion Related,66.67%,3,"$436,092",12.47%,-11.42%
Unclassified,69.77%,129,"$502,581,531",9.36%,-13.61%
Universities,33.33%,6,"$97,400,689",7.53%,2.68%
Total,66.00%,547,"$1,009,094,930",9.60%,-11.45%
