Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Florida,69.86%,"3,981","$12,417,989,542",7.10%,-16.26%
Alachua County,76.52%,115,"$252,023,560",3.27%,-22.36%
Baker County,75.00%,4,"$2,348,875",14.46%,-45.45%
Bay County,75.00%,32,"$99,799,635",8.96%,-46.88%
Bradford County,75.00%,4,"$140,133",1.77%,-30.49%
Brevard County,72.00%,100,"$247,101,646",6.05%,-16.44%
Broward County,74.43%,262,"$1,251,409,170",5.44%,-22.99%
Calhoun County,100.00%,3,"$8,990,765",2.06%,-27.63%
Charlotte County,68.75%,32,"$26,953,653",9.06%,-31.57%
Citrus County,73.08%,26,"$34,490,449",2.96%,-52.68%
Clay County,82.61%,23,"$44,205,689",1.46%,-16.26%
Collier County,54.67%,75,"$211,590,899",11.91%,-3.03%
Columbia County,81.82%,11,"$27,834,049",2.40%,-47.31%
DeSoto County,50.00%,2,"$381,753",18.27%,-3.72%
Dixie County,100.00%,2,"$1,291,273",-1.07%,-80.86%
Duval County,75.00%,212,"$734,483,058",6.34%,-17.90%
Escambia County,72.58%,62,"$115,892,796",6.29%,-15.34%
Flagler County,70.59%,17,"$17,266,782",12.64%,-22.45%
Franklin County,33.33%,6,"$723,329",34.87%,12.80%
Gadsden County,91.67%,12,"$9,834,364",3.96%,-53.02%
Gilchrist County,0.00%,1,"$420,684",9.01%,4.47%
Gulf County,100.00%,4,"$1,264,439",5.70%,-52.77%
Hamilton County,100.00%,2,"$79,153",-79.67%,-95.34%
Hardee County,57.14%,7,"$1,396,147",17.39%,-18.83%
Hendry County,60.00%,5,"$378,772",13.92%,-5.69%
Hernando County,88.24%,17,"$43,399,435",4.71%,-32.50%
Highlands County,55.00%,20,"$11,206,050",13.57%,-3.39%
Hillsborough County,70.40%,277,"$1,407,963,537",5.74%,-13.33%
Holmes County,66.67%,3,"$10,484,050",16.56%,-1.21%
Indian River County,62.22%,45,"$61,759,576",12.26%,-18.54%
Jackson County,85.71%,7,"$35,936,359",1.32%,-95.97%
Jefferson County,100.00%,4,"$1,382,186",-13.41%,-90.48%
Lake County,63.04%,46,"$92,853,127",9.00%,-6.85%
Lee County,63.25%,117,"$229,141,473",11.56%,-9.64%
Leon County,81.25%,160,"$852,721,345",2.61%,-36.93%
Levy County,87.50%,8,"$2,980,266",3.45%,-25.09%
Liberty County,100.00%,1,"$456,385",10.32%,-62.76%
Madison County,87.50%,8,"$7,192,846",3.62%,-40.28%
Manatee County,68.25%,63,"$131,016,077",4.67%,-9.49%
Marion County,60.34%,58,"$99,988,649",10.75%,-14.99%
Martin County,60.00%,40,"$61,948,190",17.12%,-6.81%
Miami-Dade County,78.75%,513,"$2,359,934,151",6.68%,-29.24%
Monroe County,71.64%,67,"$53,789,178",9.64%,-26.06%
Nassau County,56.25%,16,"$12,063,993",11.69%,-6.57%
Okaloosa County,65.00%,40,"$45,017,157",5.58%,-7.93%
Okeechobee County,60.00%,5,"$2,457,907",12.47%,-29.93%
Orange County,63.20%,269,"$900,892,042",10.28%,-9.86%
Osceola County,78.95%,38,"$116,329,684",2.88%,-55.17%
Palm Beach County,62.24%,294,"$643,349,006",8.44%,-7.21%
Pasco County,66.67%,60,"$152,518,252",5.39%,-19.14%
Pinellas County,69.23%,247,"$742,347,141",4.81%,-15.95%
Polk County,64.36%,101,"$263,497,115",7.47%,-10.30%
Putnam County,58.33%,12,"$18,254,001",12.72%,-18.76%
Santa Rosa County,75.00%,8,"$12,868,640",9.42%,-33.93%
Sarasota County,56.20%,137,"$207,704,911",10.59%,-6.02%
Seminole County,68.85%,61,"$96,642,713",4.03%,-16.55%
St. Johns County,54.55%,44,"$79,154,312",11.08%,-3.21%
St. Lucie County,76.60%,47,"$125,007,084",4.43%,-20.90%
Sumter County,90.00%,10,"$79,896,447",2.35%,-15.38%
Suwannee County,83.33%,6,"$11,432,544",2.30%,-43.70%
Taylor County,50.00%,4,"$4,557,620",9.22%,-38.24%
Volusia County,63.22%,87,"$333,477,682",8.39%,-12.22%
Wakulla County,66.67%,3,"$1,424,040",5.55%,-23.58%
Walton County,66.67%,15,"$13,831,342",14.88%,-13.68%
Washington County,75.00%,4,"$811,956",6.98%,-30.62%
