Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Colorado,59.83%,"2,634","$3,482,686,129",11.50%,-6.54%
Adams County,59.79%,97,"$100,171,554",10.19%,-6.57%
Alamosa County,81.82%,22,"$37,937,662",8.54%,-40.89%
Arapahoe County,54.07%,172,"$221,332,586",9.96%,-2.02%
Archuleta County,42.86%,14,"$2,816,356",37.19%,8.71%
Bent County,50.00%,4,"$504,784",27.45%,-25.15%
Boulder County,58.62%,232,"$209,281,428",11.04%,-4.40%
Broomfield County,48.00%,25,"$6,517,099",11.02%,0.38%
Chaffee County,45.45%,22,"$7,849,824",18.86%,3.99%
Cheyenne County,0.00%,1,"$368,519",94.55%,34.80%
Clear Creek County,87.50%,8,"$1,037,800",-4.77%,-22.40%
Conejos County,100.00%,3,"$253,281",9.43%,-10.41%
Costilla County,100.00%,3,"$1,831,267",16.37%,-9.10%
Crowley County,100.00%,2,"$465,111",10.48%,-86.39%
Custer County,80.00%,5,"$83,509",-1.09%,-8.47%
Delta County,68.75%,16,"$2,167,217",11.57%,-4.95%
Denver County,67.85%,619,"$1,129,074,872",10.26%,-14.71%
Dolores County,100.00%,2,"$167,996",5.15%,-26.91%
Douglas County,54.41%,68,"$47,994,222",10.79%,-3.03%
Eagle County,37.25%,51,"$20,051,176",18.34%,9.25%
El Paso County,52.52%,238,"$241,448,485",12.17%,-1.50%
Elbert County,50.00%,2,"$570,375",17.95%,9.41%
Fremont County,50.00%,12,"$5,257,028",16.02%,-7.11%
Garfield County,62.26%,53,"$29,885,714",9.16%,-8.11%
Gilpin County,100.00%,1,"$268,109",-28.90%,-90.96%
Grand County,56.25%,16,"$2,329,265",19.58%,-1.25%
Gunnison County,44.12%,34,"$7,190,621",27.53%,3.39%
Hinsdale County,33.33%,3,"$146,124",30.79%,21.94%
Huerfano County,75.00%,4,"$1,309,391",3.92%,-37.53%
Jackson County,100.00%,2,"$322,079",2.20%,-51.54%
Jefferson County,52.87%,174,"$835,410,988",12.46%,-1.95%
Kiowa County,100.00%,2,"$594,765",7.30%,-56.62%
Kit Carson County,66.67%,6,"$195,530",-3.42%,-12.82%
La Plata County,62.96%,54,"$62,341,119",12.56%,-12.15%
Lake County,50.00%,8,"$2,543,549",23.23%,2.09%
Larimer County,58.82%,136,"$117,789,575",11.72%,-5.56%
Las Animas County,53.85%,13,"$1,988,200",6.27%,-2.51%
Lincoln County,83.33%,6,"$2,353,118",5.31%,-68.48%
Logan County,72.73%,11,"$4,147,871",12.68%,-28.42%
Mesa County,61.82%,55,"$45,197,910",16.55%,-6.05%
Mineral County,100.00%,2,"$235,755",14.31%,-26.67%
Moffat County,60.00%,5,"$1,151,125",0.96%,-30.23%
Montezuma County,47.83%,23,"$9,958,398",24.93%,0.36%
Montrose County,67.74%,31,"$25,945,089",14.71%,-17.57%
Morgan County,75.00%,8,"$2,905,684",6.47%,-33.83%
Otero County,84.62%,13,"$19,021,222",5.80%,-22.69%
Ouray County,44.44%,9,"$27,127,199",28.30%,0.22%
Park County,75.00%,8,"$4,103,841",-0.21%,-43.17%
Phillips County,50.00%,2,"$73,208",15.80%,-18.46%
Pitkin County,54.55%,44,"$15,418,625",12.59%,-2.21%
Prowers County,80.00%,10,"$6,152,805",15.14%,-7.85%
Pueblo County,58.46%,65,"$60,581,292",12.41%,-3.36%
Rio Blanco County,28.57%,7,"$687,723",40.04%,19.16%
Rio Grande County,77.78%,9,"$9,296,848",8.01%,-30.53%
Routt County,61.70%,47,"$20,539,333",12.13%,-7.87%
Saguache County,85.71%,7,"$2,756,327",4.57%,-71.37%
San Juan County,100.00%,3,"$1,005,001",1.54%,-21.96%
San Miguel County,60.71%,28,"$8,871,602",15.87%,-8.64%
Summit County,55.81%,43,"$23,830,822",13.61%,-4.91%
Teller County,53.33%,15,"$3,355,601",15.20%,-2.65%
Washington County,100.00%,1,"$78,310",4.99%,-16.16%
Weld County,52.08%,48,"$85,873,850",14.81%,-3.94%
Yuma County,100.00%,10,"$2,520,390",-1.03%,-31.39%
