Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
South Carolina,70.54%,"1,290","$2,159,545,458",9.53%,-19.89%
Abbeville County,40.00%,5,"$3,434,487",14.24%,0.52%
Aiken County,63.16%,38,"$43,903,074",14.78%,-9.39%
Allendale County,100.00%,2,"$7,155,284",-9.82%,-28.33%
Anderson County,56.41%,39,"$26,939,969",14.43%,-4.78%
Bamberg County,83.33%,6,"$21,314,887",6.02%,-70.85%
Barnwell County,100.00%,2,"$4,595,183",15.28%,-46.74%
Beaufort County,70.37%,54,"$40,988,390",9.68%,-17.95%
Berkeley County,78.57%,14,"$33,967,783",4.96%,-44.42%
Calhoun County,100.00%,2,"$266,189",-4.79%,-81.43%
Charleston County,60.94%,192,"$307,059,600",14.37%,-6.50%
Cherokee County,70.59%,17,"$17,447,779",8.15%,-35.02%
Chester County,83.33%,6,"$8,797,988",9.29%,-67.12%
Chesterfield County,93.33%,15,"$12,350,960",9.19%,-57.75%
Clarendon County,80.00%,10,"$9,468,914",5.65%,-76.35%
Colleton County,75.00%,8,"$7,694,934",11.57%,-19.27%
Darlington County,78.57%,14,"$40,129,907",10.43%,-21.41%
Dillon County,100.00%,2,"$451,297",1.77%,-62.63%
Dorchester County,70.00%,20,"$7,666,089",16.26%,-12.70%
Edgefield County,40.00%,5,"$9,119,387",13.43%,1.42%
Fairfield County,100.00%,5,"$4,546,565",4.29%,-37.26%
Florence County,73.17%,41,"$56,471,116",10.39%,-27.34%
Georgetown County,48.39%,31,"$10,684,826",15.88%,0.13%
Greenville County,65.67%,134,"$295,039,674",9.22%,-7.66%
Greenwood County,81.25%,32,"$64,030,839",4.21%,-40.86%
Hampton County,100.00%,1,"$2,871,333",15.49%,-44.65%
Horry County,67.80%,59,"$91,845,274",12.36%,-11.04%
Jasper County,71.43%,7,"$28,151,468",0.35%,-40.98%
Kershaw County,68.42%,19,"$11,594,569",8.31%,-38.69%
Lancaster County,73.33%,15,"$15,305,886",0.16%,-62.26%
Laurens County,46.15%,13,"$9,064,875",17.97%,1.21%
Lee County,100.00%,5,"$3,449,096",5.59%,-39.21%
Lexington County,79.49%,39,"$86,454,053",7.46%,-55.87%
Marion County,66.67%,9,"$8,741,504",4.86%,-29.17%
Marlboro County,87.50%,8,"$5,302,850",5.35%,-39.80%
McCormick County,50.00%,4,"$673,259",21.81%,-11.36%
Newberry County,88.89%,9,"$5,154,718",1.16%,-10.66%
Oconee County,72.73%,11,"$3,197,269",4.81%,-16.66%
Orangeburg County,75.00%,20,"$54,712,898",12.53%,-39.69%
Pickens County,80.77%,26,"$25,901,816",11.31%,-28.17%
Richland County,81.97%,183,"$521,399,394",5.51%,-44.64%
Spartanburg County,74.70%,83,"$110,898,506",3.74%,-26.37%
Sumter County,60.87%,23,"$24,190,179",13.17%,-11.22%
Union County,66.67%,3,"$365,027",33.06%,-12.48%
Williamsburg County,87.50%,8,"$2,845,593",5.30%,-79.59%
York County,64.71%,51,"$113,900,770",11.71%,-17.29%
