Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Kentucky,65.64%,"1,138","$2,425,907,719",9.25%,-10.73%
Adair County,100.00%,1,"$7,156,516",5.62%,-4.19%
Allen County,25.00%,4,"$494,834",26.34%,14.21%
Anderson County,0.00%,1,"$193,279",18.52%,5.09%
Ballard County,100.00%,1,"$256,031",19.51%,-63.64%
Barren County,87.50%,8,"$10,881,872",8.57%,-13.78%
Bell County,85.71%,7,"$12,579,678",-3.25%,-45.76%
Boone County,45.45%,11,"$5,212,953",8.56%,2.87%
Bourbon County,75.00%,4,"$898,338",19.19%,-3.55%
Boyd County,66.67%,15,"$23,963,041",7.00%,-17.65%
Boyle County,64.29%,14,"$1,544,214",5.56%,-10.92%
Bracken County,100.00%,1,"$243,801",3.45%,-54.72%
Breathitt County,50.00%,4,"$10,759,010",13.96%,-40.08%
Breckinridge County,50.00%,2,"$3,235,039",8.06%,1.98%
Bullitt County,25.00%,8,"$1,454,634",12.78%,6.45%
Butler County,66.67%,3,"$296,481",7.18%,-8.74%
Caldwell County,100.00%,2,"$4,051,120",8.79%,-17.99%
Calloway County,66.67%,6,"$944,795",7.96%,-40.06%
Campbell County,80.95%,21,"$24,954,986",6.14%,-16.82%
Carroll County,66.67%,3,"$3,184,277",10.80%,-4.33%
Carter County,100.00%,2,"$15,320,045",-11.13%,-65.72%
Christian County,80.00%,15,"$20,610,359",3.27%,-61.04%
Clark County,87.50%,8,"$2,896,874",2.49%,-51.22%
Clay County,100.00%,3,"$14,242,805",-7.44%,-75.43%
Clinton County,50.00%,2,"$1,243,671",9.14%,-0.09%
Crittenden County,100.00%,1,"$5,637",-13.47%,-24.21%
Cumberland County,33.33%,3,"$24,275,603",3.10%,0.69%
Daviess County,64.86%,37,"$82,587,269",13.95%,-10.89%
Edmonson County,50.00%,2,"$1,647,378",19.45%,-5.94%
Estill County,50.00%,2,"$25,500",22.25%,11.05%
Fayette County,66.00%,150,"$384,667,450",9.16%,-7.56%
Fleming County,100.00%,1,"$7,378,071",2.79%,-94.72%
Floyd County,81.82%,11,"$42,413,220",6.18%,-81.49%
Franklin County,68.97%,29,"$191,869,128",1.88%,-61.61%
Fulton County,100.00%,1,"$101,080",23.39%,-76.54%
Gallatin County,100.00%,1,"$4,284,002",4.84%,-44.77%
Garrard County,100.00%,1,$525,-21.31%,-21.96%
Grant County,100.00%,2,"$175,818",19.50%,-48.18%
Graves County,80.00%,10,"$21,499,690",12.10%,-51.22%
Grayson County,100.00%,1,"$3,514,347",-257.75%,-344.33%
Greenup County,100.00%,2,"$4,879,825",5.48%,-88.79%
Hardin County,66.67%,21,"$37,169,295",11.07%,-16.04%
Harlan County,80.00%,5,"$5,684,353",9.29%,-26.75%
Harrison County,0.00%,1,"$146,300",15.50%,0.99%
Hart County,0.00%,2,"$8,843",44.38%,43.55%
Henderson County,72.22%,18,"$4,233,255",3.86%,-11.80%
Hickman County,100.00%,2,"$53,784",5.92%,-19.37%
Hopkins County,64.29%,14,"$12,545,026",8.32%,-13.72%
Jackson County,100.00%,1,"$4,550",-4.23%,-12.61%
Jefferson County,61.99%,292,"$701,931,666",9.43%,-5.63%
Jessamine County,55.56%,9,"$9,532,261",14.18%,-3.98%
Johnson County,80.00%,5,"$21,906,771",4.45%,-67.38%
Kenton County,60.00%,45,"$119,715,122",10.46%,-4.01%
Knott County,50.00%,4,"$2,997,554",-7.37%,-40.04%
Knox County,100.00%,3,"$8,805,579",11.62%,-15.99%
Larue County,0.00%,1,"$26,062",49.72%,29.95%
Laurel County,87.50%,16,"$21,702,150",0.48%,-72.14%
Lawrence County,0.00%,1,"$727,219",10.43%,4.17%
Lee County,100.00%,2,"$9,660,718",41.12%,-24.85%
Letcher County,75.00%,4,"$10,096,344",-1.41%,-42.25%
Lewis County,75.00%,4,"$10,923,762",-2.23%,-22.73%
Lincoln County,100.00%,2,"$1,153,795",10.69%,-30.48%
Livingston County,66.67%,3,"$2,818,292",6.88%,-7.17%
Logan County,66.67%,3,"$360,698",20.20%,-57.23%
Lyon County,100.00%,1,"$170,552",10.81%,-46.81%
Madison County,65.00%,20,"$93,705,379",21.43%,-7.76%
Magoffin County,100.00%,1,"$32,894",3.37%,-12.22%
Marion County,80.00%,5,"$23,432,853",8.91%,-5.72%
Marshall County,60.00%,5,"$2,199,979",5.42%,-1.63%
Mason County,87.50%,8,"$5,869,781",0.05%,-22.14%
