Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Minnesota,68.66%,"2,849","$4,691,495,380",8.08%,-11.96%
Aitkin County,60.00%,10,"$942,011",16.38%,-10.38%
Anoka County,63.38%,71,"$88,953,252",5.82%,-5.92%
Becker County,38.89%,18,"$36,027,050",24.48%,14.14%
Beltrami County,89.19%,37,"$58,663,211",4.54%,-40.36%
Benton County,88.89%,9,"$9,307,308",5.02%,-17.47%
Big Stone County,83.33%,6,"$903,083",0.11%,-24.27%
Blue Earth County,68.57%,35,"$61,327,712",8.45%,-21.58%
Brown County,56.25%,16,"$2,421,862",12.19%,-2.70%
Carlton County,81.82%,11,"$8,384,047",2.48%,-10.77%
Carver County,66.67%,24,"$38,982,819",6.64%,-7.08%
Cass County,63.64%,22,"$5,966,580",19.58%,-25.07%
Chippewa County,85.71%,7,"$8,261,455",1.90%,-24.20%
Chisago County,57.89%,19,"$12,477,473",8.13%,-6.46%
Clay County,63.64%,22,"$29,844,477",7.82%,-8.94%
Clearwater County,33.33%,3,"$139,232",19.82%,7.44%
Cook County,93.75%,16,"$7,740,871",7.85%,-35.62%
Cottonwood County,50.00%,6,"$429,361",8.27%,-1.90%
Crow Wing County,78.12%,32,"$18,990,733",0.98%,-20.83%
Dakota County,64.52%,93,"$47,841,047",9.59%,-7.17%
Dodge County,50.00%,2,"$235,625",12.38%,-31.78%
Douglas County,41.18%,17,"$3,365,360",15.05%,3.13%
Faribault County,62.50%,8,"$5,915,163",14.47%,-9.86%
Fillmore County,91.67%,12,"$4,007,766",7.82%,-19.78%
Freeborn County,85.71%,7,"$1,006,752",12.16%,-7.37%
Goodhue County,66.67%,21,"$15,406,366",6.51%,-11.81%
Grant County,100.00%,2,"$11,900,516",3.59%,-71.08%
Hennepin County,69.07%,818,"$1,710,810,946",7.68%,-9.50%
Houston County,57.14%,14,"$2,217,236",11.12%,-7.92%
Hubbard County,33.33%,9,"$3,009,673",21.75%,4.11%
Isanti County,50.00%,12,"$5,723,790",19.62%,-2.03%
Itasca County,75.76%,33,"$40,462,470",13.44%,-18.37%
Jackson County,66.67%,3,"$287,668",11.85%,-0.50%
Kanabec County,50.00%,6,"$197,072,659",12.68%,-9.32%
Kandiyohi County,44.44%,18,"$13,496,681",16.00%,3.04%
