Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Maryland,69.08%,"2,487","$6,127,216,573",8.58%,-15.15%
Congressional District 1,72.65%,362,"$394,928,017",10.86%,-23.21%
Congressional District 2,68.13%,273,"$1,910,427,435",7.32%,-11.06%
Congressional District 3,64.31%,297,"$570,107,068",8.79%,-8.75%
Congressional District 4,70.51%,156,"$155,587,447",12.48%,-22.29%
Congressional District 5,69.11%,191,"$162,115,075",9.10%,-16.06%
Congressional District 6,69.74%,304,"$259,609,551",8.69%,-16.07%
Congressional District 7,73.88%,448,"$1,130,191,825",4.36%,-21.22%
Congressional District 8,64.16%,452,"$1,543,158,570",9.72%,-9.96%
Delegate District (at Large),75.00%,4,"$1,091,585",11.17%,-28.77%
