Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",42.86%,21,"$8,058,301",25.12%,3.82%
Education (Excluding Universities),37.93%,29,"$73,220,273",15.02%,3.18%
Environment and Animals,50.00%,16,"$3,792,984",23.12%,2.39%
Health (Excluding Hospitals),64.81%,54,"$32,531,582",8.26%,-6.29%
Hospitals,57.14%,21,"$56,076,989",3.95%,-5.46%
Human Services,70.14%,144,"$73,364,618",7.61%,-12.51%
"Public, Societal Benefit",56.25%,32,"$24,604,213",25.04%,-3.79%
Religion Related,40.00%,10,"$2,821,085",14.10%,3.82%
Unclassified,64.60%,113,"$146,183,475",8.71%,-9.33%
Universities,50.00%,4,"$35,081,614",19.92%,5.37%
Total,61.49%,444,"$455,735,134",9.73%,-6.94%
