Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Missouri,68.25%,"1,959","$3,985,106,420",7.82%,-12.22%
Congressional District 1,69.01%,526,"$1,914,336,827",5.98%,-10.38%
Congressional District 2,59.30%,172,"$178,541,620",7.31%,-6.97%
Congressional District 3,67.57%,148,"$174,871,093",9.19%,-11.55%
Congressional District 4,71.58%,183,"$222,565,156",8.74%,-18.88%
Congressional District 5,64.52%,341,"$732,202,576",9.36%,-11.86%
Congressional District 6,72.81%,228,"$189,829,637",8.24%,-15.47%
Congressional District 7,63.07%,176,"$302,527,480",11.66%,-7.50%
Congressional District 8,77.84%,185,"$270,232,031",6.28%,-23.81%
