Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
South Dakota,59.69%,459,"$812,178,184",11.76%,-5.43%
Beadle County,70.00%,10,"$2,807,327",4.78%,-6.49%
Bennett County,75.00%,4,"$4,098,814",27.39%,-20.19%
Bon Homme County,50.00%,2,"$670,340",7.36%,3.27%
Brookings County,60.00%,15,"$11,354,557",18.29%,-8.71%
Brown County,61.11%,18,"$16,843,801",10.50%,-2.59%
Brule County,100.00%,2,"$240,910",7.08%,-50.40%
Butte County,60.00%,5,"$2,132,029",1.37%,-14.66%
Charles Mix County,71.43%,7,"$14,675,591",9.51%,-13.65%
Clark County,0.00%,1,"$7,330",11.34%,0.50%
Clay County,57.14%,7,"$1,571,875",13.80%,-7.15%
Codington County,50.00%,22,"$19,863,361",14.75%,0.14%
Corson County,100.00%,1,"$136,547",21.42%,-67.76%
Custer County,75.00%,4,"$677,431",14.46%,-23.33%
Davison County,81.82%,11,"$12,826,691",0.85%,-13.34%
Day County,40.00%,5,"$5,909,059",11.90%,4.16%
Deuel County,100.00%,2,"$346,722",-5.09%,-41.02%
Dewey County,75.00%,4,"$948,649",-0.25%,-11.27%
Douglas County,50.00%,2,"$150,129",-12.64%,-13.40%
Fall River County,66.67%,3,"$6,907,517",20.63%,-1.64%
Faulk County,0.00%,1,"$2,910,013",21.05%,0.61%
Grant County,100.00%,2,"$585,504",4.25%,-4.99%
Gregory County,0.00%,2,"$2,834,822",50.02%,21.66%
Haakon County,0.00%,1,"$1,849,287",16.25%,5.86%
Hamlin County,0.00%,1,"$35,636",71.08%,11.62%
Hand County,100.00%,2,"$178,673",7.21%,-12.41%
Hughes County,64.71%,17,"$72,243,616",9.61%,-41.01%
Hutchinson County,37.50%,8,"$5,477,942",17.24%,1.14%
Jackson County,71.43%,7,"$69,547,179",8.96%,-54.48%
Jones County,100.00%,1,"$32,321",12.36%,-13.17%
Kingsbury County,50.00%,2,"$31,950",31.27%,19.02%
Lake County,45.45%,11,"$23,534,514",10.33%,1.91%
Lawrence County,57.69%,26,"$7,694,988",16.56%,-16.31%
Lincoln County,71.43%,7,"$3,769,028",4.31%,-7.06%
Lyman County,100.00%,1,"$503,885",-2.98%,-84.16%
Marshall County,100.00%,2,"$404,878",15.78%,-4.09%
McPherson County,100.00%,2,"$334,519",3.61%,-5.62%
Meade County,71.43%,7,"$2,352,624",5.50%,-12.49%
Miner County,100.00%,2,"$18,684,922",18.40%,-26.32%
Minnehaha County,57.73%,97,"$253,788,340",9.54%,-4.04%
Oglala Lakota County,62.50%,8,"$13,992,108",22.96%,-8.00%
Pennington County,57.53%,73,"$153,641,247",11.27%,-5.73%
Perkins County,33.33%,3,"$1,373,301",15.68%,0.96%
Potter County,50.00%,2,"$608,924",-1.51%,-30.22%
Roberts County,71.43%,7,"$24,272,564",15.82%,-2.72%
Spink County,0.00%,1,"$12,780",12.60%,8.17%
Stanley County,100.00%,4,"$235,077",8.32%,-25.56%
Todd County,80.00%,5,"$23,768,338",-0.20%,-98.78%
Tripp County,75.00%,4,"$6,053,692",8.77%,-8.25%
Turner County,20.00%,5,"$3,322,630",25.10%,4.61%
Union County,75.00%,4,"$277,484",0.99%,-17.45%
Walworth County,50.00%,2,"$32,852",18.78%,5.09%
Yankton County,50.00%,14,"$13,647,288",18.76%,-0.35%
Ziebach County,0.00%,3,"$1,976,578",59.84%,39.78%
