Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",70.42%,71,"$27,197,229",9.79%,-16.79%
Education (Excluding Universities),64.15%,53,"$45,560,582",8.74%,-14.48%
Environment and Animals,42.86%,28,"$33,145,725",17.47%,4.38%
Health (Excluding Hospitals),74.70%,83,"$194,901,280",5.35%,-15.48%
Hospitals,28.00%,25,"$69,058,366",10.83%,2.89%
Human Services,67.38%,233,"$170,888,996",6.28%,-16.72%
"International, Foreign Affairs",50.00%,4,"$702,182",19.64%,-0.26%
"Public, Societal Benefit",57.14%,70,"$136,289,238",17.77%,-7.95%
Religion Related,66.67%,12,"$2,124,363",4.92%,-12.39%
Unclassified,68.93%,177,"$228,425,122",5.98%,-7.76%
Universities,61.54%,13,"$78,583,016",8.21%,-1.35%
Total,65.28%,769,"$986,876,099",7.78%,-11.28%
