Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",47.06%,34,"$9,564,629",15.73%,2.51%
Education (Excluding Universities),80.00%,25,"$30,934,893",3.55%,-48.73%
Environment and Animals,46.15%,26,"$3,786,550",22.67%,2.67%
Health (Excluding Hospitals),77.42%,31,"$26,467,642",8.49%,-30.44%
Hospitals,50.00%,4,"$7,687,368",12.44%,7.47%
Human Services,70.69%,116,"$79,818,525",5.77%,-26.25%
"International, Foreign Affairs",0.00%,1,"$29,727",10.18%,1.40%
Mutual/Membership Benefit,0.00%,1,"$15,625",32.95%,21.32%
"Public, Societal Benefit",68.00%,25,"$7,313,952",4.14%,-25.16%
Religion Related,0.00%,3,"$291,191",26.65%,18.00%
Unclassified,78.95%,95,"$94,569,192",3.19%,-55.86%
Universities,100.00%,1,"$1,116,784",10.93%,-9.73%
Total,68.78%,362,"$261,596,078",6.11%,-25.29%
