Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Arkansas,75.21%,843,"$1,497,047,399",7.13%,-20.99%
Arkansas County,100.00%,5,"$2,650,806",-0.26%,-18.55%
Ashley County,60.00%,5,"$1,323,823",6.96%,-5.01%
Baxter County,70.59%,17,"$15,950,956",14.48%,-54.12%
Benton County,59.32%,59,"$51,645,457",10.51%,-5.01%
Boone County,87.50%,16,"$37,638,481",10.40%,-58.37%
Bradley County,100.00%,1,"$1,114,328",16.52%,-67.24%
Calhoun County,100.00%,1,"$5,110,397",4.32%,-42.40%
Carroll County,53.85%,13,"$3,785,852",18.79%,-3.18%
Chicot County,60.00%,5,"$13,114,445",12.74%,-0.29%
Clark County,100.00%,3,"$11,771,968",-0.97%,-9.93%
Clay County,100.00%,2,"$8,375,565",-12.57%,-35.64%
Cleburne County,80.00%,5,"$1,190,031",0.13%,-48.97%
Columbia County,90.00%,10,"$12,227,919",6.20%,-62.48%
Conway County,62.50%,8,"$6,172,790",13.59%,-19.45%
Craighead County,82.14%,28,"$98,292,182",4.35%,-43.06%
Crawford County,71.43%,14,"$9,898,915",14.14%,-32.57%
Crittenden County,90.00%,10,"$15,196,774",13.89%,-24.45%
Cross County,80.00%,5,"$5,163,965",5.67%,-22.40%
Desha County,80.00%,5,"$4,482,474",-2.17%,-7.21%
Drew County,80.00%,5,"$15,766,544",15.38%,-5.64%
Faulkner County,76.19%,21,"$41,082,636",4.65%,-31.26%
Franklin County,66.67%,3,"$555,916",17.49%,-69.53%
Fulton County,100.00%,1,"$1,443,565",27.68%,-68.80%
Garland County,88.89%,27,"$56,161,273",2.27%,-31.87%
Grant County,100.00%,2,"$1,010,987",22.04%,-55.53%
Greene County,100.00%,9,"$10,100,370",-1.97%,-8.27%
Hempstead County,33.33%,3,"$1,125,173",13.47%,2.58%
Hot Spring County,40.00%,5,"$288,240",25.63%,4.81%
Howard County,100.00%,3,"$479,481",5.04%,-23.99%
Independence County,84.21%,19,"$48,886,580",2.57%,-29.11%
Izard County,100.00%,7,"$571,934",-35.52%,-60.05%
Jackson County,50.00%,4,"$429,062",17.06%,9.02%
Jefferson County,86.96%,23,"$51,757,614",13.00%,-40.07%
Johnson County,50.00%,6,"$11,157,376",8.57%,-0.81%
Lawrence County,100.00%,4,"$7,255,136",1.59%,-51.62%
Lee County,50.00%,2,"$3,424,236",26.02%,-11.64%
Little River County,50.00%,2,"$1,692,314",46.37%,4.63%
Logan County,60.00%,5,"$420,193",3.53%,-11.55%
Lonoke County,100.00%,7,"$7,022,415",11.69%,-54.20%
Madison County,80.00%,5,"$1,495,553",-3.10%,-16.09%
Marion County,100.00%,1,"$217,277",1.66%,-73.70%
Miller County,60.00%,5,"$5,069,625",13.27%,-6.02%
Mississippi County,80.00%,5,"$1,137,443",14.67%,-39.24%
Monroe County,100.00%,3,"$2,732,640",6.41%,-30.53%
Newton County,0.00%,1,"$93,675",4.94%,2.44%
Ouachita County,75.00%,4,"$9,429,842",9.16%,-19.84%
Perry County,100.00%,1,"$23,313",1.26%,-14.44%
Phillips County,100.00%,9,"$30,258,121",-0.28%,-70.71%
Poinsett County,50.00%,2,"$101,917",7.28%,-20.87%
Polk County,75.00%,4,"$6,871,229",8.08%,-14.60%
Pope County,83.33%,18,"$14,138,057",-4.63%,-59.66%
Pulaski County,77.56%,205,"$562,877,950",5.82%,-24.93%
Randolph County,91.67%,12,"$15,405,407",3.94%,-47.43%
Saline County,80.00%,25,"$52,744,336",12.82%,-8.20%
Scott County,66.67%,3,"$786,361",12.53%,-80.19%
Searcy County,100.00%,3,"$10,013,555",29.50%,-7.03%
Sebastian County,61.22%,49,"$74,958,045",9.32%,-13.78%
Sevier County,0.00%,1,"$154,000",6.77%,2.59%
Sharp County,0.00%,1,"$47,955",17.30%,7.11%
St. Francis County,50.00%,2,"$432,594",3.46%,-30.71%
Stone County,50.00%,2,"$211,703",27.06%,-19.82%
Union County,81.82%,11,"$10,042,823",10.17%,-19.00%
Van Buren County,100.00%,4,"$1,059,847",11.12%,-31.92%
Washington County,72.86%,70,"$71,184,467",7.86%,-14.28%
White County,50.00%,22,"$4,288,029",8.61%,-1.35%
Woodruff County,100.00%,1,"$35,482,093",10.72%,-15.32%
Yell County,50.00%,4,"$20,051,369",6.83%,-37.76%
