Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Colorado,59.83%,"2,634","$3,482,686,129",11.50%,-6.54%
Congressional District 1,68.01%,622,"$1,136,575,225",10.20%,-15.61%
Congressional District 2,58.33%,504,"$379,994,907",12.01%,-4.92%
Congressional District 3,60.23%,533,"$377,739,896",13.53%,-6.51%
Congressional District 4,62.35%,162,"$84,520,225",9.57%,-7.85%
Congressional District 5,52.52%,238,"$241,448,485",12.17%,-1.50%
Congressional District 6,55.05%,198,"$241,840,544",9.66%,-2.31%
Congressional District 7,52.67%,262,"$865,421,283",13.15%,-1.54%
Congressional District 8,56.52%,115,"$155,145,564",12.41%,-6.57%
