Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Illinois,67.30%,"3,468","$9,986,549,815",8.22%,-13.23%
Congressional District 1,73.37%,169,"$1,860,017,084",7.78%,-27.16%
Congressional District 10,57.05%,149,"$139,316,625",10.25%,-3.03%
Congressional District 11,68.42%,133,"$174,797,883",8.53%,-9.32%
Congressional District 12,81.34%,134,"$230,383,098",3.67%,-37.30%
Congressional District 13,72.92%,288,"$545,568,902",6.32%,-19.93%
Congressional District 14,72.90%,107,"$149,330,515",5.38%,-21.32%
Congressional District 15,63.58%,173,"$192,574,457",8.00%,-10.12%
Congressional District 16,63.01%,146,"$124,692,814",7.86%,-10.87%
Congressional District 17,71.79%,319,"$1,036,786,520",6.97%,-16.90%
Congressional District 2,74.10%,166,"$275,192,818",5.67%,-26.28%
Congressional District 3,72.73%,132,"$334,267,895",6.99%,-18.84%
Congressional District 4,72.32%,112,"$358,333,275",8.34%,-16.46%
Congressional District 5,59.57%,230,"$414,194,550",10.99%,-5.11%
Congressional District 6,57.72%,123,"$266,969,813",9.20%,-6.27%
Congressional District 7,65.01%,723,"$3,430,972,512",8.82%,-12.13%
Congressional District 8,60.47%,129,"$183,071,498",8.34%,-11.08%
Congressional District 9,63.83%,235,"$270,079,556",9.75%,-5.67%
