Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Iowa,62.36%,"1,294","$1,252,625,535",10.37%,-5.73%
Adams County,66.67%,3,"$839,932",-132.66%,-205.68%
Allamakee County,50.00%,6,"$645,789",6.17%,-5.89%
Appanoose County,50.00%,8,"$2,546,761",20.72%,4.94%
Audubon County,33.33%,3,"$950,142",25.23%,16.31%
Benton County,20.00%,5,"$740,394",31.23%,30.57%
Black Hawk County,75.86%,58,"$68,919,509",6.03%,-14.31%
Boone County,50.00%,12,"$4,202,455",19.89%,-1.51%
Bremer County,90.91%,11,"$6,041,361",0.72%,-19.88%
Buchanan County,50.00%,6,"$1,355,618",23.69%,-5.74%
Buena Vista County,100.00%,5,"$7,815,696",4.45%,-17.08%
Butler County,50.00%,2,"$194,749",22.33%,4.83%
Calhoun County,50.00%,2,"$2,379,465",1.48%,-18.49%
Carroll County,63.64%,11,"$11,373,726",14.67%,-3.79%
Cass County,83.33%,6,"$2,735,621",3.76%,-50.35%
Cedar County,57.14%,7,"$1,479,202",17.18%,-3.23%
Cerro Gordo County,68.18%,22,"$21,502,058",6.94%,-11.12%
Cherokee County,40.00%,5,"$6,015,714",18.50%,1.72%
Chickasaw County,20.00%,5,"$258,144",34.13%,5.72%
Clarke County,50.00%,4,"$282,477",28.04%,20.24%
Clay County,80.00%,10,"$10,340,673",4.61%,-33.14%
Clayton County,57.14%,7,"$994,156",-1.24%,-2.58%
Clinton County,86.36%,22,"$11,285,148",3.21%,-19.66%
Crawford County,40.00%,5,"$2,817,773",22.04%,3.03%
Dallas County,56.25%,16,"$3,724,538",8.16%,-2.44%
Davis County,100.00%,2,"$62,103",-2.94%,-19.39%
Decatur County,80.00%,5,"$16,765,810",7.03%,-31.00%
Delaware County,100.00%,4,"$2,318,885",-3.80%,-12.31%
Des Moines County,63.16%,19,"$35,994,904",8.08%,-7.89%
Dickinson County,40.00%,5,"$1,902,292",24.10%,18.91%
Dubuque County,51.56%,64,"$43,623,873",11.27%,-0.74%
Emmet County,0.00%,1,"$462,151",11.44%,9.94%
Fayette County,83.33%,6,"$12,734,646",1.50%,-17.02%
Floyd County,40.00%,5,"$1,163,220",23.21%,9.73%
Franklin County,88.89%,9,"$661,844",2.31%,-8.43%
Fremont County,33.33%,3,"$85,985",63.08%,35.10%
Greene County,0.00%,2,"$596,156",41.29%,22.52%
Grundy County,60.00%,5,"$784,627",25.84%,-1.01%
Guthrie County,20.00%,5,"$1,765,427",35.13%,31.34%
Hamilton County,100.00%,2,"$212,428",12.24%,-35.30%
Hancock County,40.00%,5,"$206,865",23.25%,17.53%
Hardin County,66.67%,9,"$1,593,160",7.90%,-1.73%
Harrison County,66.67%,6,"$1,535,408",9.57%,-16.87%
Henry County,25.00%,8,"$3,380,680",29.97%,8.48%
Howard County,40.00%,5,"$226,518",36.63%,6.67%
Humboldt County,40.00%,5,"$351,227",26.03%,0.64%
Ida County,50.00%,2,"$79,903",22.34%,-26.09%
Iowa County,83.33%,6,"$1,348,276",11.61%,-10.79%
Jackson County,50.00%,6,"$1,737,388",17.08%,2.04%
Jasper County,66.67%,6,"$203,624",6.68%,-7.75%
Jefferson County,10.00%,10,"$1,013,385",16.27%,13.91%
Johnson County,55.56%,72,"$40,305,325",14.31%,-0.83%
Jones County,40.00%,10,"$3,180,706",19.66%,11.46%
Keokuk County,0.00%,1,"$20,213",17.15%,7.76%
Kossuth County,50.00%,6,"$1,082,199",15.14%,0.95%
Lee County,33.33%,9,"$648,204",32.18%,13.12%
Linn County,61.25%,80,"$129,990,399",7.11%,-3.69%
Louisa County,50.00%,2,"$134,604",17.70%,-0.18%
Lucas County,0.00%,3,"$49,113",38.83%,32.21%
Lyon County,60.00%,5,"$961,180",15.29%,-2.05%
Madison County,50.00%,6,"$462,411",16.18%,-4.63%
Mahaska County,50.00%,10,"$3,327,929",10.75%,0.22%
Marion County,41.67%,12,"$5,682,132",10.92%,5.45%
Marshall County,72.73%,11,"$20,478,204",5.36%,-19.47%
Mitchell County,71.43%,7,"$1,358,371",3.94%,-10.97%
Monona County,66.67%,3,"$651,374",-3.32%,-5.03%
Monroe County,66.67%,3,"$351,575",14.66%,-27.17%
Montgomery County,40.00%,5,"$862,667",35.26%,10.85%
Muscatine County,64.29%,14,"$7,474,075",12.18%,-2.84%
O'Brien County,72.73%,11,"$1,791,884",11.69%,-4.22%
Osceola County,100.00%,1,"$705,653",-3.83%,-8.94%
Page County,28.57%,7,"$7,096,269",20.29%,4.95%
Palo Alto County,66.67%,6,"$21,958,515",7.06%,-6.01%
Plymouth County,75.00%,12,"$23,212,367",6.48%,-15.18%
Pocahontas County,100.00%,2,"$398,199",17.42%,-17.72%
Polk County,67.43%,218,"$344,282,720",9.33%,-9.06%
Pottawattamie County,69.57%,23,"$17,283,008",8.02%,-9.46%
Poweshiek County,25.00%,8,"$6,831,418",32.98%,17.32%
Ringgold County,50.00%,2,"$248,907",-98.29%,-347.93%
Sac County,60.00%,5,"$574,291",5.81%,-0.06%
Scott County,62.26%,53,"$90,965,130",9.28%,-7.33%
Shelby County,57.14%,7,"$1,035,955",7.14%,-4.80%
Sioux County,56.25%,32,"$21,530,689",15.93%,-1.44%
Story County,65.85%,41,"$42,329,398",13.40%,-8.31%
Tama County,75.00%,4,"$873,917",13.51%,-4.64%
Taylor County,100.00%,3,"$581,945",21.01%,-25.45%
Union County,66.67%,9,"$6,339,738",9.04%,-12.11%
Wapello County,80.00%,10,"$22,133,889",9.72%,-12.45%
Warren County,50.00%,10,"$5,332,991",15.53%,-2.66%
Washington County,57.14%,14,"$4,037,780",25.55%,-1.45%
Wayne County,100.00%,2,"$121,907",-25.18%,-50.31%
Webster County,83.33%,18,"$18,746,253",7.61%,-9.81%
Winnebago County,88.89%,9,"$991,136",5.07%,-11.09%
Winneshiek County,61.11%,18,"$20,752,913",6.53%,-6.03%
Woodbury County,70.69%,58,"$74,051,367",6.92%,-12.72%
Worth County,100.00%,2,"$466,419",34.46%,-5.10%
Wright County,100.00%,4,"$678,310",2.81%,-10.91%
