Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.89%,36,"$13,370,550",13.44%,-7.63%
Education (Excluding Universities),55.00%,40,"$59,791,325",9.44%,-4.03%
Environment and Animals,41.18%,17,"$6,010,426",29.19%,8.68%
Health (Excluding Hospitals),74.19%,31,"$36,898,297",11.48%,-10.49%
Hospitals,47.83%,23,"$196,368,630",6.35%,0.61%
Human Services,61.64%,146,"$147,623,743",12.19%,-7.47%
"International, Foreign Affairs",0.00%,1,"$49,895",21.30%,17.89%
"Public, Societal Benefit",54.55%,44,"$79,590,796",23.43%,-6.74%
Religion Related,63.64%,11,"$3,711,012",15.12%,-13.18%
Unclassified,59.43%,106,"$258,971,250",11.19%,-7.41%
Universities,100.00%,4,"$9,792,260",2.93%,-7.00%
Total,59.69%,459,"$812,178,184",11.76%,-5.43%
