Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Virginia,64.29%,"2,792","$4,571,835,868",10.66%,-9.96%
Accomack County,76.92%,26,"$16,371,418",3.26%,-42.26%
Albemarle County,59.18%,49,"$28,923,936",15.94%,-3.42%
Alexandria city,55.17%,145,"$315,775,900",11.30%,-3.08%
Alleghany County,76.92%,13,"$2,515,016",10.54%,-43.88%
Amelia County,100.00%,2,"$766,238",-90.03%,-160.46%
Amherst County,66.67%,6,"$7,114,822",2.03%,-45.12%
Appomattox County,66.67%,6,"$762,894",12.87%,-13.98%
Arlington County,57.74%,168,"$1,224,982,474",9.41%,-4.94%
Augusta County,81.82%,22,"$17,020,409",4.96%,-38.31%
Bath County,60.00%,5,"$2,154,967",-9.49%,-85.08%
Bedford County,43.48%,23,"$14,155,421",20.48%,14.73%
Bland County,100.00%,3,"$4,268,469",-15.06%,-42.29%
Botetourt County,66.67%,6,"$426,502",19.46%,-62.58%
Bristol city,66.67%,6,"$1,922,422",16.00%,-6.37%
Brunswick County,71.43%,7,"$1,265,466",-1.10%,-64.35%
Buchanan County,77.78%,9,"$4,271,107",6.48%,-20.03%
Buckingham County,60.00%,5,"$18,773,342",32.16%,-3.34%
Buena Vista city,100.00%,4,"$6,088,546",7.28%,-45.63%
Campbell County,50.00%,10,"$4,018,705",29.21%,-0.07%
Caroline County,66.67%,3,"$197,023",-2.95%,-5.26%
Carroll County,75.00%,4,"$3,833,416",-3.77%,-19.16%
Charles City County,100.00%,1,"$48,177",12.00%,-17.26%
Charlotte County,83.33%,6,"$933,538",4.86%,-50.16%
Charlottesville city,59.42%,69,"$44,472,505",15.32%,-5.48%
Chesapeake city,52.63%,19,"$15,900,476",9.82%,-2.55%
Chesterfield County,75.68%,37,"$12,054,646",5.50%,-15.11%
Clarke County,20.00%,10,"$1,763,477",23.64%,8.00%
Colonial Heights city,50.00%,2,"$436,288",13.71%,0.97%
Covington city,100.00%,1,"$368,537",-4.91%,-91.90%
Craig County,0.00%,1,"$176,600",43.88%,26.78%
Culpeper County,75.00%,20,"$9,716,585",8.84%,-39.03%
Cumberland County,100.00%,1,"$190,952",61.91%,-38.09%
Danville city,86.36%,22,"$37,397,299",11.96%,-25.96%
Dickenson County,66.67%,3,"$275,125",23.36%,-11.96%
Dinwiddie County,0.00%,1,"$1,700",0.81%,0.35%
Emporia city,100.00%,2,"$925,921",4.58%,-42.33%
Essex County,60.00%,5,"$1,604,530",15.39%,-24.83%
Fairfax County,58.19%,342,"$930,901,755",11.52%,-4.33%
Fairfax city,93.10%,29,"$57,897,099",7.32%,-34.73%
Falls Church city,53.33%,15,"$2,461,411",5.48%,-4.78%
Fauquier County,55.00%,40,"$19,597,023",14.59%,-2.97%
Floyd County,50.00%,2,"$350,190",15.64%,-26.26%
Fluvanna County,83.33%,6,"$1,126,345",6.43%,-13.88%
Franklin County,92.86%,14,"$13,633,199",2.81%,-35.01%
Franklin city,100.00%,4,"$13,522,234",1.13%,-76.77%
Frederick County,38.46%,13,"$1,593,601",17.81%,2.31%
Fredericksburg city,60.00%,30,"$29,318,414",8.64%,-11.97%
Galax city,83.33%,6,"$4,693,563",7.93%,-33.44%
Giles County,100.00%,3,"$1,085,552",30.61%,-2.55%
Gloucester County,53.85%,13,"$5,477,649",11.16%,-17.66%
Goochland County,62.50%,8,"$3,350,380",15.63%,-12.22%
Grayson County,66.67%,6,"$371,098",0.17%,-44.16%
Greene County,100.00%,5,"$1,440,600",15.66%,-19.83%
Greensville County,100.00%,6,"$1,486,420",0.35%,-29.83%
Halifax County,84.62%,13,"$9,806,812",9.86%,-40.53%
Hampton city,80.00%,20,"$64,651,959",2.98%,-11.75%
Hanover County,66.67%,18,"$5,799,141",9.82%,-8.43%
Harrisonburg city,58.54%,41,"$24,688,977",12.81%,-2.01%
Henrico County,60.18%,113,"$204,165,871",9.44%,-7.92%
Henry County,70.00%,10,"$1,104,948",33.94%,-2.95%
Highland County,60.00%,5,"$2,155,625",23.62%,-12.09%
Hopewell city,75.00%,4,"$312,847",-7.01%,-18.38%
Isle of Wight County,87.50%,8,"$1,243,295",2.25%,-62.91%
James City County,72.73%,33,"$19,888,916",10.25%,-6.66%
