Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Oklahoma,72.63%,906,"$1,608,045,127",6.01%,-20.07%
Adair County,100.00%,2,"$609,224",42.48%,-42.23%
Alfalfa County,100.00%,2,"$5,620,788",11.52%,-15.07%
Atoka County,100.00%,1,"$542,387",-4.79%,-19.52%
Beckham County,80.00%,5,"$8,826,671",8.10%,-8.89%
Blaine County,0.00%,1,"$24,006",65.93%,44.61%
Bryan County,60.00%,10,"$26,365,212",6.86%,-21.42%
Caddo County,66.67%,6,"$5,229,146",4.90%,-57.70%
Canadian County,85.71%,7,"$2,698,732",-0.07%,-6.28%
Carter County,60.87%,23,"$19,046,492",21.97%,-11.49%
Cherokee County,86.67%,15,"$11,338,952",12.05%,-42.48%
Choctaw County,80.00%,5,"$15,456,968",-1.19%,-64.95%
Cleveland County,69.77%,43,"$20,638,751",9.83%,-8.74%
Coal County,50.00%,2,"$397,392",-21.06%,-45.15%
Comanche County,77.27%,22,"$9,591,448",2.60%,-23.53%
Craig County,66.67%,6,"$972,492",-9.09%,-48.08%
Creek County,66.67%,6,"$1,772,093",11.65%,-52.29%
Custer County,57.14%,7,"$2,090,018",16.72%,-3.46%
Delaware County,66.67%,6,"$7,346,344",12.11%,-14.10%
Ellis County,0.00%,1,"$1,847,932",33.42%,20.40%
Garfield County,75.00%,16,"$11,430,535",3.29%,-20.40%
Garvin County,100.00%,3,"$14,121,221",10.89%,-69.73%
Grady County,100.00%,8,"$5,546,693",-4.89%,-91.43%
Harmon County,100.00%,1,"$2,774,806",13.98%,-72.13%
Harper County,100.00%,1,"$45,372",3.47%,-3.69%
Haskell County,100.00%,2,"$41,873,113",11.27%,-40.96%
Hughes County,100.00%,3,"$5,434,465",-3.26%,-62.03%
Jackson County,66.67%,6,"$6,052,615",17.81%,-61.18%
Johnston County,100.00%,3,"$10,035,216",7.65%,-58.08%
Kay County,83.33%,12,"$3,297,491",3.80%,-25.54%
Kingfisher County,100.00%,2,"$458,828",-2.88%,-59.58%
Kiowa County,100.00%,2,"$6,154,897",6.20%,-83.88%
Le Flore County,75.00%,4,"$1,626,395",5.54%,-83.87%
Lincoln County,100.00%,1,"$88,674",-12.14%,-74.36%
Logan County,71.43%,7,"$4,894,779",8.72%,-77.12%
Love County,100.00%,2,"$70,509",9.12%,-59.28%
Marshall County,50.00%,2,"$584,567",41.41%,-14.75%
Mayes County,100.00%,7,"$815,215",-11.15%,-54.39%
McClain County,100.00%,3,"$2,095,458",-0.18%,-89.38%
McCurtain County,83.33%,6,"$8,965,475",6.73%,-23.72%
McIntosh County,100.00%,2,"$872,425",-36.81%,-107.90%
Murray County,100.00%,1,"$38,398",-21.87%,-31.08%
Muskogee County,89.47%,19,"$18,021,075",-6.39%,-71.99%
Noble County,100.00%,1,"$87,997",-11.68%,-22.32%
Nowata County,100.00%,3,"$23,251,785",5.39%,-11.51%
Okfuskee County,100.00%,1,"$204,757",17.55%,-54.68%
Oklahoma County,71.54%,267,"$763,884,174",6.45%,-13.30%
Okmulgee County,100.00%,4,"$4,279,317",3.42%,-64.70%
Osage County,50.00%,4,"$4,967,295",12.68%,-4.49%
Ottawa County,83.33%,6,"$4,033,208",8.33%,-44.26%
Pawnee County,100.00%,3,"$2,143,799",-20.91%,-87.12%
Payne County,65.00%,20,"$13,862,588",9.81%,-39.12%
Pittsburg County,60.00%,10,"$7,598,529",6.95%,-18.73%
Pontotoc County,77.78%,18,"$6,534,594",4.44%,-52.01%
Pottawatomie County,82.35%,17,"$19,408,929",3.73%,-63.78%
Pushmataha County,100.00%,1,"$3,563,283",20.51%,-33.01%
Rogers County,91.67%,12,"$19,130,973",3.34%,-73.09%
Seminole County,85.71%,7,"$9,033,554",6.23%,-53.94%
Sequoyah County,33.33%,3,"$2,802,828",66.64%,1.27%
Stephens County,77.78%,9,"$8,339,619",2.71%,-14.54%
Texas County,100.00%,5,"$4,099,583",0.63%,-29.82%
Tillman County,100.00%,2,"$10,119,610",2.60%,-60.34%
Tulsa County,63.18%,201,"$382,279,925",7.65%,-8.62%
Wagoner County,100.00%,2,"$2,188,812",4.84%,-59.06%
Washington County,77.78%,18,"$24,595,483",8.01%,-8.02%
Woods County,66.67%,3,"$63,443",0.25%,-7.23%
Woodward County,83.33%,6,"$5,857,772",0.40%,-90.80%
