Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Florida,69.86%,"3,981","$12,417,989,542",7.10%,-16.26%
Congressional District 1,68.91%,119,"$182,374,278",6.73%,-13.19%
Congressional District 10,65.91%,220,"$772,921,938",9.89%,-11.24%
Congressional District 11,62.67%,75,"$197,171,432",9.84%,-7.19%
Congressional District 12,74.74%,95,"$224,122,617",4.71%,-40.51%
Congressional District 13,63.23%,155,"$639,382,495",7.34%,-9.95%
Congressional District 14,76.32%,266,"$1,178,206,610",4.75%,-21.83%
Congressional District 15,61.54%,104,"$418,353,887",6.05%,-11.12%
Congressional District 16,63.53%,85,"$143,367,563",5.60%,-6.75%
Congressional District 17,58.76%,177,"$237,685,449",9.76%,-6.26%
Congressional District 18,65.04%,123,"$289,221,682",8.44%,-10.37%
Congressional District 19,61.45%,166,"$312,925,747",11.64%,-7.33%
Congressional District 2,80.16%,257,"$1,040,814,976",3.39%,-36.79%
Congressional District 20,72.46%,138,"$773,645,524",5.55%,-21.46%
Congressional District 21,65.93%,135,"$310,759,355",8.20%,-10.59%
Congressional District 22,66.19%,139,"$370,218,517",10.66%,-10.26%
Congressional District 23,66.67%,159,"$350,840,124",7.84%,-9.65%
Congressional District 24,77.55%,147,"$296,615,504",5.76%,-43.90%
Congressional District 25,70.42%,71,"$256,682,575",5.33%,-23.26%
Congressional District 26,75.47%,106,"$516,361,582",7.78%,-19.82%
Congressional District 27,76.82%,233,"$1,467,494,785",7.22%,-23.31%
Congressional District 28,77.27%,110,"$172,804,518",7.23%,-32.10%
Congressional District 3,73.27%,202,"$395,561,209",4.73%,-21.34%
Congressional District 4,75.38%,130,"$322,673,930",7.18%,-21.71%
Congressional District 5,68.29%,164,"$545,392,153",6.15%,-13.10%
Congressional District 6,66.39%,119,"$381,984,481",9.47%,-13.40%
Congressional District 7,64.29%,84,"$103,435,517",5.10%,-12.59%
Congressional District 8,68.97%,145,"$308,861,222",7.78%,-17.54%
Congressional District 9,68.42%,57,"$208,109,872",3.83%,-34.64%
