Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Georgia,66.43%,"2,130","$5,229,883,749",9.35%,-11.79%
Appling County,100.00%,2,"$298,237",-1.37%,-34.19%
Bacon County,100.00%,1,"$5,197,555",1.20%,-9.37%
Baldwin County,57.14%,7,"$1,900,381",27.14%,-24.37%
Banks County,100.00%,1,"$47,750",-74.38%,-105.51%
Barrow County,37.50%,8,"$1,565,971",12.57%,2.87%
Bartow County,66.67%,12,"$31,160,209",8.98%,-22.62%
Ben Hill County,0.00%,1,"$10,000",27.16%,21.52%
Berrien County,100.00%,1,"$146,383",18.48%,-33.04%
Bibb County,62.32%,69,"$150,382,761",9.50%,-6.89%
Brantley County,0.00%,1,"$23,239",16.43%,13.03%
Brooks County,0.00%,1,"$1,826,029",62.17%,47.74%
Bryan County,0.00%,1,"$30,712",86.61%,81.47%
Bulloch County,73.68%,19,"$12,349,935",6.51%,-7.95%
Burke County,0.00%,1,"$103,239",19.10%,13.37%
Butts County,100.00%,1,"$9,326,362",7.02%,-92.90%
Camden County,62.50%,8,"$1,678,831",12.52%,-35.35%
Carroll County,68.75%,16,"$13,262,867",12.33%,-6.38%
Catoosa County,71.43%,7,"$4,167,461",15.57%,-37.95%
Chatham County,74.44%,90,"$88,996,559",10.49%,-16.72%
Chattooga County,100.00%,2,"$65,045",3.63%,-3.77%
Cherokee County,77.78%,27,"$27,148,394",8.14%,-11.64%
Clarke County,70.45%,44,"$259,910,937",11.00%,-21.39%
Clayton County,73.91%,23,"$60,852,188",6.93%,-16.95%
Cobb County,61.47%,109,"$130,725,535",9.75%,-6.53%
Coffee County,100.00%,3,"$12,321,607",5.68%,-3.46%
Colquitt County,55.56%,9,"$38,473,481",12.51%,-15.68%
Columbia County,50.00%,8,"$8,878,447",18.43%,-12.08%
Cook County,0.00%,1,"$55,840",36.38%,21.99%
Coweta County,61.11%,18,"$17,006,605",16.12%,-5.63%
Crisp County,80.00%,5,"$17,450,614",12.49%,-54.47%
Dade County,66.67%,3,"$8,277,286",4.14%,-48.28%
Dawson County,40.00%,5,"$766,746",13.11%,2.73%
DeKalb County,62.73%,220,"$1,259,745,952",9.87%,-8.02%
Decatur County,60.00%,5,"$277,860",3.50%,-8.84%
Dodge County,100.00%,1,"$101,805",-0.99%,-66.62%
Dougherty County,77.14%,35,"$36,980,207",9.29%,-30.81%
Douglas County,73.33%,15,"$7,327,139",11.32%,-30.92%
Early County,100.00%,3,"$5,375,422",4.36%,-78.51%
Effingham County,100.00%,5,"$9,887,193",-5.30%,-20.54%
Emanuel County,100.00%,4,"$12,838,354",7.90%,-45.88%
Fannin County,71.43%,7,"$4,551,672",6.31%,-10.62%
Fayette County,69.23%,26,"$14,785,634",7.73%,-14.19%
Floyd County,73.33%,30,"$17,481,841",9.06%,-22.96%
Forsyth County,50.00%,28,"$12,086,685",10.91%,0.23%
Franklin County,50.00%,6,"$3,709,842",10.42%,-29.24%
Fulton County,63.26%,528,"$1,882,808,956",10.09%,-7.94%
Gilmer County,50.00%,2,"$552,451",22.31%,-22.11%
Glynn County,68.00%,25,"$64,500,808",13.37%,-14.88%
Gordon County,42.86%,7,"$5,309,934",11.33%,7.97%
Grady County,100.00%,3,"$436,579",-9.42%,-44.67%
Greene County,57.14%,7,"$6,726,506",12.28%,-11.23%
Gwinnett County,68.81%,109,"$135,868,107",9.38%,-13.21%
Habersham County,85.71%,7,"$8,113,557",-0.46%,-78.00%
Hall County,57.89%,38,"$101,424,302",9.26%,-3.74%
Hancock County,100.00%,1,"$26,850",-3.08%,-35.20%
Haralson County,33.33%,3,"$153,600",0.15%,0.15%
Harris County,66.67%,3,"$1,429,902",43.42%,-54.81%
Hart County,100.00%,1,"$1,105,280",3.83%,-81.70%
Heard County,100.00%,1,"$300,601",12.50%,-11.08%
Henry County,75.00%,20,"$10,940,841",2.22%,-16.77%
Houston County,66.67%,27,"$38,215,472",4.87%,-16.35%
Irwin County,100.00%,2,"$4,678,042",13.38%,-51.28%
Jackson County,75.00%,4,"$732,968",-8.86%,-33.83%
Jeff Davis County,100.00%,3,"$101,649",-1.75%,-9.49%
Jefferson County,0.00%,1,"$227,504",18.58%,8.03%
Jenkins County,100.00%,1,"$389,024",4.33%,-88.69%
Johnson County,100.00%,2,"$10,342,249",8.68%,-26.05%
Jones County,100.00%,4,"$23,172,267",-2.38%,-11.20%
Lamar County,100.00%,2,"$279,024",17.15%,-80.62%
Lanier County,0.00%,1,"$11,972",31.44%,29.06%
Laurens County,50.00%,6,"$2,068,875",11.58%,-33.78%
Liberty County,100.00%,4,"$4,982,990",15.07%,-66.91%
Lowndes County,75.00%,20,"$49,414,633",9.19%,-40.68%
Lumpkin County,44.44%,9,"$2,433,210",21.55%,2.73%
Macon County,100.00%,3,"$3,845,933",1.46%,-68.66%
Madison County,100.00%,2,"$15,610,855",8.99%,-16.11%
McDuffie County,100.00%,1,"$2,113,034",-0.99%,-100.99%
Meriwether County,50.00%,2,"$8,053",-188.27%,-189.25%
Miller County,100.00%,2,"$743,211",0.59%,-62.96%
Mitchell County,100.00%,3,"$15,004,602",17.73%,-60.99%
Monroe County,75.00%,4,"$708,709",1.26%,-27.40%
Montgomery County,100.00%,2,"$2,140,155",1.00%,-54.42%
Morgan County,50.00%,4,"$611,173",19.08%,7.09%
Murray County,80.00%,5,"$2,632,481",4.65%,-37.65%
Muscogee County,65.52%,58,"$76,574,089",9.32%,-5.33%
Newton County,87.50%,8,"$2,136,832",4.97%,-18.64%
Oconee County,16.67%,6,"$940,862",39.72%,27.87%
Paulding County,60.00%,10,"$2,455,330",8.94%,-62.44%
Peach County,100.00%,1,"$46,656",-8.23%,-12.43%
Pickens County,46.15%,13,"$22,356,048",14.24%,7.81%
Pierce County,50.00%,2,"$74,307",7.03%,-1.33%
Pike County,100.00%,1,"$167,700",6.21%,-4.76%
Polk County,66.67%,3,"$940,673",13.82%,-50.57%
Pulaski County,66.67%,3,"$10,230,089",16.92%,-11.00%
Putnam County,66.67%,3,"$291,844",2.36%,-5.97%
Rabun County,0.00%,5,"$2,739,097",26.55%,14.00%
Randolph County,100.00%,3,"$9,923,526",6.53%,-77.11%
Richmond County,73.85%,65,"$175,733,459",7.56%,-20.66%
Rockdale County,94.44%,18,"$25,623,562",3.90%,-67.51%
Screven County,0.00%,1,"$43,900",27.20%,23.22%
Seminole County,100.00%,2,"$3,570,424",-9.57%,-29.31%
