Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Pennsylvania,66.87%,"6,175","$13,203,162,114",9.69%,-11.29%
Adams County,58.18%,55,"$56,371,119",16.73%,-6.15%
Allegheny County,67.98%,815,"$1,981,940,328",9.80%,-11.29%
Armstrong County,64.29%,28,"$19,395,396",6.59%,-5.57%
Beaver County,70.91%,55,"$43,217,406",8.04%,-17.17%
Bedford County,60.71%,28,"$49,097,030",16.15%,-16.78%
Berks County,64.81%,162,"$150,249,883",10.97%,-11.92%
Blair County,78.79%,66,"$121,445,383",6.53%,-40.94%
Bradford County,62.86%,35,"$43,182,002",8.47%,-22.92%
Bucks County,71.01%,207,"$202,408,580",9.04%,-16.74%
Butler County,69.88%,83,"$77,041,186",6.69%,-11.82%
Cambria County,77.53%,89,"$129,432,126",8.94%,-22.19%
Cameron County,100.00%,4,"$10,886,772",0.49%,-57.76%
Carbon County,81.82%,22,"$4,464,756",9.16%,-19.47%
Centre County,56.25%,80,"$52,040,248",14.53%,-4.73%
Chester County,62.22%,225,"$154,468,155",11.52%,-8.07%
Clarion County,65.38%,26,"$9,497,357",9.64%,-8.82%
Clearfield County,58.18%,55,"$85,349,228",8.97%,-6.00%
Clinton County,75.00%,24,"$11,167,931",2.92%,-24.05%
Columbia County,55.56%,36,"$13,188,178",18.84%,-7.00%
Crawford County,64.91%,57,"$76,373,737",9.81%,-14.84%
Cumberland County,63.20%,125,"$121,552,721",10.07%,-9.71%
Dauphin County,63.48%,178,"$792,656,637",7.88%,-12.99%
Delaware County,70.20%,198,"$305,803,309",7.89%,-11.78%
Elk County,72.41%,29,"$23,639,447",13.82%,-15.47%
Erie County,79.07%,172,"$276,643,608",6.27%,-17.65%
Fayette County,63.83%,47,"$34,442,376",7.51%,-14.75%
Forest County,0.00%,2,"$48,897",25.05%,13.60%
Franklin County,53.95%,76,"$68,458,611",15.89%,-2.73%
Fulton County,100.00%,7,"$6,524,688",1.06%,-29.20%
Greene County,75.00%,16,"$16,106,139",11.09%,-19.29%
Huntingdon County,71.43%,28,"$16,128,571",4.11%,-13.87%
Indiana County,62.79%,43,"$38,846,510",10.24%,-11.78%
Jefferson County,60.87%,23,"$16,431,578",9.45%,-3.14%
Juniata County,50.00%,14,"$1,312,940",17.52%,1.68%
Lackawanna County,69.44%,108,"$154,841,304",8.18%,-11.21%
Lancaster County,58.91%,258,"$180,058,413",13.65%,-5.58%
Lawrence County,77.50%,40,"$587,970,853",7.27%,-53.51%
Lebanon County,63.79%,58,"$22,369,322",13.48%,-5.27%
Lehigh County,69.57%,161,"$482,499,091",5.61%,-13.15%
Luzerne County,61.76%,102,"$158,427,954",12.62%,-5.79%
Lycoming County,78.00%,50,"$157,319,483",5.96%,-25.53%
McKean County,75.00%,24,"$20,723,247",11.44%,-10.93%
Mercer County,70.00%,60,"$102,614,310",5.97%,-25.44%
Mifflin County,80.00%,25,"$15,094,239",3.88%,-12.41%
Monroe County,75.51%,49,"$47,192,227",13.52%,-31.18%
Montgomery County,60.81%,370,"$470,111,314",10.58%,-7.53%
Montour County,50.00%,22,"$82,365,002",9.90%,0.85%
Northampton County,71.29%,101,"$168,819,793",8.69%,-15.55%
Northumberland County,62.50%,32,"$22,947,469",12.45%,-4.95%
Perry County,47.83%,23,"$1,952,550",30.16%,4.73%
Philadelphia County,69.65%,850,"$4,672,655,882",9.42%,-11.95%
Pike County,91.30%,23,"$5,031,221",3.39%,-45.06%
Potter County,70.00%,10,"$1,156,286",4.77%,-26.39%
Schuylkill County,63.64%,66,"$33,125,772",10.27%,-6.92%
Snyder County,62.50%,8,"$2,448,370",9.58%,-10.75%
Somerset County,57.89%,38,"$70,420,367",19.40%,-8.27%
Sullivan County,50.00%,4,"$146,542",33.95%,18.06%
Susquehanna County,59.09%,22,"$18,670,968",13.86%,-3.53%
Tioga County,63.89%,36,"$20,551,685",14.49%,-7.70%
Union County,72.41%,29,"$48,235,816",10.36%,-12.20%
Venango County,72.00%,25,"$5,936,038",11.00%,-19.79%
Warren County,59.38%,32,"$24,620,238",14.95%,-9.36%
Washington County,75.61%,82,"$131,854,093",7.45%,-13.71%
Wayne County,67.74%,31,"$25,315,615",14.94%,-10.60%
Westmoreland County,60.58%,137,"$141,239,678",15.79%,-6.99%
Wyoming County,77.78%,18,"$9,236,259",1.48%,-12.94%
York County,63.74%,171,"$307,397,880",11.12%,-7.66%
