Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",76.34%,93,"$53,901,018",7.64%,-19.71%
Education (Excluding Universities),90.57%,159,"$814,755,190",8.37%,-85.26%
Environment and Animals,57.78%,45,"$43,451,828",11.68%,-8.49%
Health (Excluding Hospitals),58.21%,67,"$186,505,861",12.76%,-7.62%
Hospitals,20.00%,5,"$23,597,732",19.70%,6.26%
Human Services,74.58%,177,"$234,857,655",8.15%,-26.10%
"International, Foreign Affairs",14.29%,7,"$627,919",12.14%,2.63%
"Public, Societal Benefit",74.36%,39,"$17,061,464",9.25%,-21.03%
Religion Related,25.00%,4,"$134,893",23.11%,16.60%
Unclassified,61.34%,119,"$242,105,131",10.96%,-14.80%
Universities,33.33%,3,"$48,788,185",4.24%,0.50%
Total,72.14%,718,"$1,665,786,876",9.73%,-23.91%
