Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",60.56%,180,"$87,932,277",17.05%,-6.12%
Education (Excluding Universities),63.74%,182,"$332,038,198",10.29%,-8.31%
Environment and Animals,45.16%,124,"$52,126,882",19.66%,3.08%
Health (Excluding Hospitals),65.20%,204,"$527,687,775",7.58%,-10.33%
Hospitals,40.00%,30,"$88,661,189",9.73%,2.20%
Human Services,65.72%,671,"$739,275,028",10.00%,-11.00%
"International, Foreign Affairs",54.55%,11,"$5,048,554",13.16%,-5.80%
Mutual/Membership Benefit,100.00%,2,"$8,602,845",-7.17%,-100.42%
"Public, Societal Benefit",64.13%,184,"$215,512,430",12.72%,-12.07%
Religion Related,47.83%,46,"$11,287,315",10.29%,0.61%
Unclassified,68.55%,496,"$733,082,122",8.38%,-10.32%
Universities,56.00%,25,"$330,707,675",6.28%,-1.08%
Total,63.53%,"2,155","$3,131,962,290",10.44%,-8.25%
