Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",52.00%,100,"$49,416,704",18.76%,-2.58%
Education (Excluding Universities),69.23%,91,"$58,594,861",8.50%,-8.44%
Environment and Animals,48.84%,43,"$14,968,183",14.17%,3.84%
Health (Excluding Hospitals),71.54%,123,"$331,727,508",6.87%,-16.27%
Hospitals,54.55%,33,"$246,518,162",11.41%,-1.15%
Human Services,69.83%,358,"$295,229,457",8.30%,-15.56%
"International, Foreign Affairs",60.00%,10,"$912,676",3.88%,-6.99%
"Public, Societal Benefit",69.05%,84,"$207,602,507",8.41%,-26.75%
Religion Related,42.31%,26,"$14,062,102",15.95%,6.41%
Unclassified,67.84%,255,"$1,097,473,045",7.51%,-11.39%
Universities,46.67%,15,"$109,402,514",9.52%,3.13%
Total,65.64%,"1,138","$2,425,907,719",9.25%,-10.73%
