Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",61.81%,343,"$225,819,126",15.58%,-8.01%
Education (Excluding Universities),63.64%,330,"$1,094,349,025",8.69%,-5.92%
Environment and Animals,48.60%,107,"$150,093,806",17.23%,1.66%
Health (Excluding Hospitals),68.40%,307,"$816,223,303",8.54%,-13.62%
Hospitals,41.30%,46,"$247,267,233",7.60%,1.97%
Human Services,73.82%,"1,062","$2,434,394,548",6.63%,-22.09%
"International, Foreign Affairs",40.54%,37,"$12,928,834",17.92%,8.84%
Mutual/Membership Benefit,75.00%,4,"$1,214,334",0.28%,-26.46%
"Public, Societal Benefit",70.49%,305,"$611,222,174",6.55%,-22.32%
Religion Related,43.96%,91,"$41,417,034",15.17%,2.46%
Unclassified,69.34%,773,"$2,270,326,439",6.76%,-13.35%
Universities,60.32%,63,"$2,081,293,959",4.01%,-4.10%
Total,67.30%,"3,468","$9,986,549,815",8.22%,-13.23%
