Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",54.42%,147,"$88,236,125",17.27%,-2.75%
Education (Excluding Universities),75.57%,221,"$676,749,625",8.19%,-51.96%
Environment and Animals,56.90%,58,"$26,329,614",15.35%,-9.26%
Health (Excluding Hospitals),67.88%,165,"$339,342,695",8.60%,-12.24%
Hospitals,43.24%,37,"$165,047,206",12.49%,5.21%
Human Services,66.82%,666,"$659,674,186",9.47%,-13.66%
"International, Foreign Affairs",61.11%,18,"$117,569,621",6.37%,-3.86%
"Public, Societal Benefit",66.00%,200,"$170,571,145",13.75%,-20.87%
Religion Related,54.55%,55,"$22,918,593",11.71%,-3.06%
Unclassified,64.63%,458,"$739,712,296",7.77%,-9.90%
Universities,61.54%,26,"$298,920,285",6.35%,-1.27%
Total,65.24%,"2,051","$3,305,071,391",10.03%,-11.39%
