Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
New York,69.53%,"8,743","$29,720,633,621",8.36%,-12.97%
Congressional District 1,67.35%,245,"$204,463,777",6.50%,-7.52%
Congressional District 10,68.34%,998,"$5,353,749,888",9.14%,-12.08%
Congressional District 11,79.10%,134,"$379,262,147",8.11%,-29.57%
Congressional District 12,58.43%,"1,263","$6,432,780,970",10.57%,-4.88%
Congressional District 13,73.67%,376,"$2,283,294,652",6.81%,-22.03%
Congressional District 14,85.98%,107,"$513,210,548",4.44%,-28.24%
Congressional District 15,82.33%,232,"$1,644,389,042",4.57%,-28.72%
Congressional District 16,67.32%,257,"$743,278,393",9.14%,-10.46%
Congressional District 17,60.51%,352,"$458,920,276",10.76%,-6.85%
Congressional District 18,65.26%,285,"$407,783,841",11.44%,-9.01%
Congressional District 19,68.22%,494,"$426,123,173",8.74%,-12.44%
Congressional District 2,78.74%,174,"$305,230,249",4.66%,-35.44%
Congressional District 20,75.17%,447,"$2,657,022,188",7.02%,-15.90%
Congressional District 21,69.41%,425,"$397,113,731",8.28%,-14.13%
Congressional District 22,68.62%,376,"$595,312,831",8.99%,-11.51%
Congressional District 23,72.25%,346,"$345,914,627",8.87%,-14.53%
Congressional District 24,74.37%,359,"$459,054,158",9.74%,-19.11%
Congressional District 25,71.30%,338,"$1,206,055,644",7.20%,-12.31%
Congressional District 26,77.78%,369,"$648,779,022",6.33%,-15.26%
Congressional District 3,64.35%,230,"$469,399,724",8.37%,-7.93%
Congressional District 4,65.77%,149,"$502,049,301",8.38%,-7.75%
Congressional District 5,85.98%,107,"$750,810,561",2.31%,-45.01%
Congressional District 6,78.33%,120,"$457,404,362",8.82%,-13.80%
Congressional District 7,73.42%,237,"$771,352,359",8.39%,-18.61%
Congressional District 8,80.45%,133,"$795,011,373",3.99%,-39.84%
Congressional District 9,71.05%,190,"$512,866,784",7.96%,-15.35%
