Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",80.00%,40,"$16,463,273",9.51%,-20.81%
Education (Excluding Universities),71.15%,52,"$108,083,119",7.87%,-16.28%
Environment and Animals,56.00%,25,"$9,940,110",10.88%,-1.96%
Health (Excluding Hospitals),86.89%,61,"$174,083,293",6.87%,-44.82%
Hospitals,77.78%,9,"$23,854,956",9.75%,-2.79%
Human Services,72.90%,155,"$144,828,624",7.80%,-27.34%
"International, Foreign Affairs",100.00%,2,"$1,116,549",15.82%,-83.54%
Mutual/Membership Benefit,0.00%,1,"$500,000",89.93%,11.27%
"Public, Societal Benefit",74.51%,51,"$63,425,152",3.32%,-44.25%
Religion Related,61.90%,21,"$7,808,368",6.52%,-8.44%
Unclassified,73.55%,121,"$269,233,818",5.12%,-35.32%
Universities,85.71%,7,"$35,807,809",0.82%,-14.67%
Total,74.13%,545,"$855,145,071",6.46%,-26.56%
