Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Texas,65.05%,"4,750","$17,830,022,161",9.58%,-10.73%
Congressional District 1,67.32%,153,"$196,662,837",10.52%,-14.55%
Congressional District 10,67.38%,141,"$93,665,632",9.75%,-7.21%
Congressional District 11,64.63%,164,"$219,603,136",10.92%,-12.34%
Congressional District 12,60.00%,135,"$251,673,059",10.57%,-5.46%
Congressional District 13,72.38%,181,"$164,938,093",9.33%,-15.64%
Congressional District 14,72.50%,120,"$134,941,467",6.17%,-17.97%
Congressional District 15,74.24%,66,"$323,706,277",5.49%,-31.28%
Congressional District 16,76.04%,96,"$318,558,961",4.33%,-33.37%
Congressional District 17,73.88%,134,"$251,828,848",7.06%,-18.96%
Congressional District 18,62.96%,162,"$446,435,225",11.65%,-9.14%
Congressional District 19,69.54%,174,"$339,850,372",9.99%,-13.49%
Congressional District 2,62.90%,62,"$336,828,425",3.63%,-7.18%
Congressional District 20,77.78%,99,"$996,588,496",6.57%,-17.59%
Congressional District 21,55.02%,209,"$3,193,188,505",13.11%,-2.53%
Congressional District 22,75.32%,77,"$44,065,633",9.30%,-17.61%
Congressional District 23,76.92%,91,"$76,792,811",6.07%,-32.23%
Congressional District 24,51.59%,126,"$100,353,486",11.95%,-1.29%
Congressional District 25,66.96%,115,"$137,583,001",8.89%,-13.91%
Congressional District 26,62.32%,69,"$51,032,153",9.55%,-9.11%
Congressional District 27,64.46%,121,"$131,892,447",11.27%,-9.91%
Congressional District 28,81.01%,79,"$310,631,017",3.95%,-47.17%
Congressional District 29,67.86%,56,"$739,520,112",11.22%,-13.25%
Congressional District 3,60.94%,64,"$23,229,053",10.44%,-4.86%
Congressional District 30,56.90%,232,"$917,530,444",10.13%,-4.66%
Congressional District 31,55.88%,102,"$145,766,438",15.05%,-3.98%
Congressional District 32,62.88%,132,"$438,866,417",8.84%,-8.52%
Congressional District 33,62.50%,96,"$354,355,006",8.97%,-9.17%
Congressional District 34,72.50%,80,"$1,158,734,006",6.05%,-23.38%
Congressional District 35,74.59%,244,"$1,466,114,931",6.58%,-21.63%
Congressional District 36,60.92%,87,"$110,156,476",14.16%,-10.97%
Congressional District 37,60.42%,336,"$944,203,634",12.33%,-7.01%
Congressional District 38,52.71%,129,"$252,856,470",12.17%,-2.11%
Congressional District 4,63.55%,107,"$126,670,357",10.56%,-4.95%
Congressional District 5,67.24%,58,"$52,058,678",8.82%,-29.95%
Congressional District 6,61.73%,81,"$180,765,546",7.23%,-11.78%
Congressional District 7,57.07%,198,"$653,823,695",10.33%,-5.09%
Congressional District 8,55.00%,60,"$39,873,732",11.20%,-3.05%
Congressional District 9,71.05%,114,"$2,104,677,285",5.58%,-12.99%
