Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Kansas,70.13%,971,"$1,044,083,084",8.02%,-11.92%
Allen County,85.71%,7,"$9,129,125",5.28%,-30.40%
Anderson County,100.00%,1,"$2,417,752",1.55%,-6.03%
Atchison County,44.44%,9,"$6,802,708",22.75%,0.98%
Barber County,100.00%,1,"$3,213",-54.79%,-55.51%
Barton County,68.18%,22,"$14,012,990",11.19%,-9.15%
Bourbon County,50.00%,2,"$192,119",40.50%,-9.77%
Brown County,75.00%,8,"$18,500,585",4.80%,-44.97%
Butler County,80.00%,15,"$10,449,097",8.95%,-26.80%
Chase County,50.00%,2,"$111,162",1.69%,-1.66%
Chautauqua County,0.00%,1,"$26,400",15.59%,11.42%
Cherokee County,87.50%,8,"$2,988,708",3.92%,-12.93%
Cheyenne County,100.00%,2,"$2,800,067",5.91%,-5.77%
Clark County,0.00%,1,"$63,671",35.56%,29.71%
Clay County,66.67%,3,"$3,044,088",34.27%,-44.83%
Cloud County,100.00%,5,"$513,816",2.15%,-18.18%
Coffey County,100.00%,3,"$3,546,659",-0.03%,-99.98%
Comanche County,100.00%,2,"$242,995",-4.46%,-10.84%
Cowley County,76.92%,13,"$13,069,926",3.95%,-19.52%
Crawford County,75.00%,12,"$22,482,836",5.38%,-39.17%
Decatur County,100.00%,2,"$587,707",7.31%,-42.94%
Dickinson County,62.50%,8,"$838,930",12.81%,-5.60%
Doniphan County,100.00%,1,"$34,393",-3.55%,-10.75%
Douglas County,73.47%,49,"$111,896,151",10.62%,-26.24%
Elk County,100.00%,1,"$166,596",17.17%,-71.64%
Ellis County,88.89%,18,"$28,603,593",1.28%,-35.99%
Ellsworth County,100.00%,2,"$366,654",6.21%,-14.41%
Finney County,75.00%,16,"$13,128,448",9.68%,-23.46%
Ford County,53.85%,13,"$7,532,062",15.06%,-1.44%
Franklin County,72.73%,11,"$19,927,189",3.31%,-22.31%
Geary County,75.00%,8,"$7,494,636",13.76%,-35.41%
Graham County,100.00%,2,"$525,099",9.92%,-43.34%
Gray County,100.00%,2,"$303,642",0.01%,-26.09%
Greeley County,100.00%,1,"$5,387,915",23.84%,-5.64%
Greenwood County,0.00%,1,"$12,400",42.70%,20.62%
Harper County,66.67%,3,"$849,629",26.89%,-4.42%
Harvey County,60.00%,20,"$23,480,415",9.63%,-1.56%
Haskell County,100.00%,2,"$187,249",28.64%,-31.84%
Jackson County,80.00%,5,"$5,166,456",0.05%,-10.43%
Jefferson County,100.00%,2,"$1,156,772",8.79%,-9.67%
Johnson County,57.01%,107,"$93,407,514",11.54%,-2.43%
Kingman County,60.00%,5,"$3,977,445",14.22%,-4.69%
Kiowa County,80.00%,5,"$2,373,732",-4.48%,-23.97%
Labette County,50.00%,6,"$15,592,157",17.26%,8.06%
Leavenworth County,50.00%,18,"$8,490,426",12.65%,-6.36%
Lincoln County,50.00%,2,"$217,259",61.00%,-15.51%
Logan County,100.00%,2,"$425,634",6.88%,-20.16%
Lyon County,78.95%,19,"$43,862,162",7.40%,-29.23%
Marion County,42.86%,7,"$5,000,172",12.51%,0.03%
Marshall County,60.00%,5,"$5,128,633",-1.30%,-15.98%
McPherson County,69.57%,23,"$21,662,382",5.19%,-5.60%
Miami County,100.00%,5,"$4,826,906",14.33%,-8.51%
Mitchell County,33.33%,3,"$93,224",16.95%,9.54%
