Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Indiana,65.24%,"2,051","$3,305,071,391",10.03%,-11.39%
Adams County,50.00%,2,"$432,352",12.24%,7.56%
Allen County,52.46%,122,"$161,907,936",11.86%,-0.64%
Bartholomew County,70.00%,40,"$36,059,615",4.45%,-25.28%
Blackford County,100.00%,1,"$25,000",-16.68%,-104.61%
Boone County,68.42%,19,"$5,562,096",8.45%,-13.57%
Brown County,62.50%,8,"$1,113,688",15.00%,-8.87%
Carroll County,0.00%,2,"$1,193,022",32.95%,26.14%
Cass County,71.43%,7,"$10,420,398",9.22%,-4.88%
Clark County,71.43%,21,"$46,516,597",10.53%,-21.65%
Clay County,80.00%,5,"$154,991",0.83%,-8.19%
Clinton County,87.50%,8,"$1,782,111",10.83%,-13.12%
Crawford County,100.00%,1,"$235,200",20.60%,-73.89%
Daviess County,40.00%,10,"$2,945,674",15.58%,3.14%
DeKalb County,53.85%,13,"$6,691,226",17.27%,-6.31%
Dearborn County,76.00%,25,"$28,673,893",11.59%,-46.87%
Decatur County,60.00%,10,"$1,534,507",24.36%,-3.65%
Delaware County,70.59%,34,"$51,544,616",15.43%,-12.21%
Dubois County,71.43%,14,"$7,366,249",13.90%,-19.80%
Elkhart County,56.45%,62,"$170,528,986",9.69%,-3.93%
Fayette County,50.00%,4,"$806,328",8.56%,-29.50%
Floyd County,77.27%,22,"$17,761,010",13.29%,-24.57%
Fountain County,100.00%,1,"$7,400,663",-0.94%,-78.05%
Franklin County,40.00%,5,"$3,382,020",28.09%,6.02%
Fulton County,85.71%,7,"$999,486",8.54%,-37.20%
Gibson County,75.00%,4,"$6,012,001",5.53%,-30.38%
Grant County,58.82%,17,"$44,709,455",16.67%,-9.49%
Greene County,25.00%,4,"$904,150",31.72%,16.66%
Hamilton County,60.44%,91,"$74,966,256",11.42%,-6.35%
Hancock County,63.64%,11,"$9,158,080",7.06%,-31.87%
Harrison County,71.43%,14,"$8,780,882",6.54%,-23.80%
Hendricks County,57.69%,26,"$21,770,389",8.90%,-6.24%
