Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Missouri,68.25%,"1,959","$3,985,106,420",7.82%,-12.22%
Adair County,76.47%,17,"$26,999,998",1.74%,-20.64%
Andrew County,100.00%,3,"$481,369",22.11%,-39.29%
Atchison County,75.00%,4,"$765,171",3.08%,-7.35%
Audrain County,100.00%,5,"$4,489,646",10.21%,-19.89%
Barry County,50.00%,8,"$1,891,481",19.89%,-3.10%
Barton County,100.00%,2,"$781,173",14.57%,-43.24%
Bates County,66.67%,3,"$403,224",-6.63%,-9.98%
Benton County,100.00%,1,"$22,834",-0.21%,-13.15%
Bollinger County,100.00%,2,"$103,295",-200.52%,-234.36%
Boone County,58.33%,84,"$91,302,804",17.80%,-5.32%
Buchanan County,71.43%,42,"$41,493,838",8.91%,-15.23%
Butler County,90.00%,10,"$3,070,392",8.49%,-27.20%
Caldwell County,100.00%,1,"$59,167",-6.43%,-39.19%
Callaway County,81.82%,11,"$14,373,169",7.07%,-21.97%
Camden County,90.00%,10,"$10,733,534",8.84%,-17.13%
Cape Girardeau County,79.41%,34,"$60,531,550",8.71%,-19.00%
Carroll County,83.33%,6,"$2,011,907",7.35%,-28.92%
Carter County,100.00%,2,"$248,016",-9.42%,-52.98%
Cass County,53.85%,13,"$10,657,172",17.52%,-1.37%
Cedar County,0.00%,2,"$8,512",4.77%,2.05%
Chariton County,100.00%,1,"$140,000",-11.47%,-62.38%
Christian County,88.89%,9,"$2,746,273",10.80%,-19.19%
Clark County,66.67%,3,"$172,522",9.42%,-1.14%
Clay County,59.46%,37,"$22,499,037",11.87%,-8.62%
Clinton County,100.00%,3,"$1,088,484",4.72%,-68.32%
Cole County,79.55%,44,"$54,685,110",7.63%,-30.14%
Cooper County,50.00%,6,"$1,302,855",16.58%,-1.52%
Crawford County,100.00%,2,"$213,859",1.57%,-46.07%
Dade County,100.00%,1,"$114,275",12.31%,-1.29%
Dallas County,50.00%,4,"$127,345",17.64%,-7.57%
Daviess County,50.00%,2,"$1,698,853",15.43%,-34.22%
DeKalb County,50.00%,2,"$131,349",8.35%,-0.81%
Dent County,75.00%,4,"$633,918",4.46%,-18.18%
Douglas County,100.00%,2,"$6,499,391",5.25%,-29.45%
Dunklin County,88.89%,9,"$59,249,511",3.80%,-56.34%
Franklin County,82.35%,17,"$12,850,396",5.99%,-19.63%
Gasconade County,66.67%,6,"$512,334",-6.62%,-21.29%
Gentry County,100.00%,3,"$4,025,952",0.39%,-65.27%
Greene County,60.82%,97,"$224,944,892",14.11%,-7.13%
Grundy County,80.00%,5,"$5,616,997",13.30%,-55.85%
Harrison County,66.67%,3,"$364,056",9.61%,-20.82%
Henry County,83.33%,6,"$424,858",-3.02%,-75.24%
Hickory County,100.00%,2,"$5,180,048",-5.34%,-24.94%
Holt County,100.00%,1,"$162,591",23.64%,-50.10%
Howard County,75.00%,4,"$7,119,983",-0.12%,-41.31%
Howell County,69.23%,13,"$22,694,560",5.01%,-6.46%
Iron County,75.00%,4,"$567,730",-15.27%,-21.15%
Jackson County,64.60%,322,"$723,824,193",9.87%,-11.00%
Jasper County,74.07%,27,"$38,042,057",5.09%,-18.97%
Jefferson County,57.14%,14,"$8,019,807",8.23%,-18.37%
Johnson County,90.00%,10,"$7,614,925",6.81%,-36.30%
Laclede County,100.00%,7,"$4,473,883",0.00%,-95.75%
Lafayette County,90.91%,11,"$9,251,810",3.18%,-24.93%
Lawrence County,66.67%,3,"$2,389,129",13.63%,-0.63%
Lewis County,75.00%,4,"$2,872,431",-3.31%,-33.17%
Lincoln County,66.67%,6,"$2,419,670",10.95%,-9.02%
Linn County,75.00%,4,"$1,771,125",3.00%,-46.33%
Livingston County,80.00%,10,"$2,801,099",4.37%,-23.02%
Macon County,100.00%,4,"$572,709",6.66%,-16.09%
Madison County,66.67%,3,"$5,057,299",2.78%,-12.19%
Marion County,42.86%,14,"$20,255,554",3.36%,2.63%
Mercer County,100.00%,1,"$12,000",4.97%,-0.29%
Miller County,50.00%,2,"$364,349",17.13%,-23.61%
Mississippi County,100.00%,5,"$4,286,887",-7.68%,-92.07%
Moniteau County,100.00%,1,"$18,303",-14.35%,-34.72%
Monroe County,100.00%,4,"$1,376,353",4.99%,-45.92%
Morgan County,66.67%,6,"$397,966",3.94%,-23.95%
New Madrid County,100.00%,2,"$1,117,559",-5.30%,-62.65%
Newton County,62.50%,8,"$19,651,764",1.49%,-8.84%
Nodaway County,70.00%,10,"$10,609,586",9.28%,-36.80%
Oregon County,100.00%,1,"$237,068",30.06%,-24.91%
Osage County,50.00%,2,"$29,878",-20.85%,-32.06%
Pemiscot County,100.00%,4,"$884,432",5.56%,-56.55%
Perry County,71.43%,7,"$1,966,596",6.80%,-63.20%
Pettis County,84.62%,13,"$24,194,764",8.54%,-36.79%
Phelps County,70.59%,17,"$18,590,246",9.44%,-9.81%
Pike County,100.00%,4,"$1,549,987",8.00%,-34.13%
Platte County,54.17%,24,"$32,931,450",13.04%,-2.67%
Polk County,100.00%,7,"$15,596,249",3.52%,-16.20%
