Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Georgia,66.43%,"2,130","$5,229,883,749",9.35%,-11.79%
Congressional District 1,74.67%,150,"$206,134,391",10.38%,-19.56%
Congressional District 10,66.67%,99,"$304,927,186",8.89%,-11.20%
Congressional District 11,68.91%,119,"$155,303,964",9.24%,-11.64%
Congressional District 12,71.43%,126,"$246,010,685",7.43%,-20.88%
Congressional District 13,70.67%,75,"$69,327,968",9.39%,-12.54%
Congressional District 14,67.00%,100,"$53,794,505",8.65%,-21.03%
Congressional District 2,72.81%,217,"$368,341,794",7.00%,-16.48%
Congressional District 3,67.27%,110,"$97,006,776",9.18%,-8.75%
Congressional District 4,68.45%,168,"$298,176,040",8.09%,-12.13%
Congressional District 5,64.15%,516,"$2,833,567,326",9.04%,-9.55%
Congressional District 6,47.97%,123,"$108,186,908",12.59%,0.84%
Congressional District 7,69.00%,100,"$131,378,812",11.67%,-12.94%
Congressional District 8,62.96%,108,"$200,460,166",12.37%,-15.68%
Congressional District 9,59.66%,119,"$157,267,228",7.82%,-6.42%
