Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
California,65.68%,"10,513","$42,132,825,415",9.03%,-13.04%
Congressional District 1,80.95%,210,"$826,099,832",7.00%,-52.04%
Congressional District 10,58.52%,176,"$252,022,478",12.16%,-5.45%
Congressional District 11,70.35%,823,"$3,166,507,187",9.03%,-15.88%
Congressional District 12,62.69%,729,"$2,830,582,572",9.79%,-10.93%
Congressional District 13,71.43%,56,"$154,775,017",11.39%,-14.85%
Congressional District 14,68.25%,126,"$195,424,343",11.16%,-26.89%
Congressional District 15,65.97%,238,"$1,991,761,246",10.27%,-16.20%
Congressional District 16,58.11%,265,"$760,209,768",11.69%,-3.00%
Congressional District 17,57.59%,158,"$534,887,569",12.11%,-4.90%
Congressional District 18,74.18%,213,"$612,882,707",9.78%,-22.92%
Congressional District 19,62.02%,258,"$829,843,200",12.08%,-8.17%
Congressional District 2,65.73%,534,"$922,977,625",9.46%,-13.05%
Congressional District 20,65.22%,115,"$359,463,932",9.67%,-11.20%
Congressional District 21,65.73%,143,"$992,845,252",8.60%,-21.99%
Congressional District 22,76.36%,55,"$321,378,556",7.48%,-37.94%
Congressional District 23,71.00%,100,"$1,103,333,486",9.75%,-38.59%
Congressional District 24,58.69%,351,"$836,803,907",11.45%,-6.80%
Congressional District 25,73.97%,73,"$183,740,903",9.94%,-19.76%
Congressional District 26,68.57%,175,"$525,439,748",7.06%,-15.84%
Congressional District 27,65.48%,84,"$558,371,121",8.16%,-31.90%
Congressional District 28,65.80%,231,"$999,533,515",8.13%,-9.40%
Congressional District 29,63.89%,108,"$445,849,838",9.55%,-8.30%
Congressional District 3,64.84%,256,"$428,425,206",7.21%,-10.55%
Congressional District 30,58.50%,294,"$902,103,037",11.09%,-5.25%
Congressional District 31,67.02%,94,"$2,147,725,934",4.82%,-14.96%
Congressional District 32,57.00%,207,"$887,934,841",8.15%,-7.70%
Congressional District 33,70.00%,90,"$311,820,959",10.55%,-41.93%
Congressional District 34,71.54%,383,"$2,248,240,061",8.38%,-19.16%
Congressional District 35,61.62%,99,"$757,043,276",9.03%,-8.90%
Congressional District 36,65.36%,306,"$990,979,152",7.04%,-13.00%
Congressional District 37,67.38%,279,"$3,048,040,312",7.22%,-21.62%
Congressional District 38,57.14%,56,"$217,406,727",4.39%,-6.25%
Congressional District 39,69.05%,84,"$227,914,831",6.44%,-19.98%
Congressional District 4,69.47%,285,"$798,442,511",7.95%,-16.47%
Congressional District 40,53.45%,116,"$175,034,648",13.18%,-2.07%
Congressional District 41,55.36%,112,"$170,967,864",10.97%,-2.20%
Congressional District 42,81.28%,235,"$406,032,500",3.19%,-56.69%
Congressional District 43,74.70%,83,"$335,303,472",8.49%,-18.84%
Congressional District 44,70.19%,104,"$402,434,486",6.99%,-18.35%
Congressional District 45,48.24%,85,"$150,784,718",11.42%,0.28%
Congressional District 46,64.74%,156,"$440,431,464",9.53%,-12.98%
Congressional District 47,50.76%,197,"$326,149,442",14.43%,-0.43%
Congressional District 48,60.71%,112,"$436,339,375",12.60%,-10.84%
Congressional District 49,61.07%,149,"$221,638,024",8.75%,-6.11%
Congressional District 5,74.72%,178,"$465,313,817",7.99%,-26.40%
Congressional District 50,61.09%,311,"$805,386,251",10.93%,-6.86%
Congressional District 51,62.67%,217,"$1,686,288,016",5.02%,-11.59%
Congressional District 52,72.12%,104,"$609,873,450",8.52%,-14.94%
Congressional District 6,72.73%,198,"$1,436,512,209",7.06%,-42.75%
Congressional District 7,64.45%,256,"$869,931,981",11.39%,-17.73%
Congressional District 8,67.11%,152,"$224,954,952",7.65%,-17.66%
Congressional District 9,76.60%,94,"$598,638,097",7.04%,-23.73%
