Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",61.85%,249,"$141,641,801",15.02%,-8.47%
Education (Excluding Universities),52.69%,391,"$453,381,157",12.73%,-1.54%
Environment and Animals,56.82%,176,"$248,916,889",14.42%,-4.78%
Health (Excluding Hospitals),60.62%,226,"$325,947,876",11.49%,-8.73%
Hospitals,33.33%,9,"$24,696,191",3.42%,1.37%
Human Services,63.60%,805,"$674,765,938",9.84%,-9.48%
"International, Foreign Affairs",41.67%,36,"$6,137,505",16.97%,4.76%
Mutual/Membership Benefit,100.00%,1,"$125,213",43.79%,-50.63%
"Public, Societal Benefit",60.73%,219,"$811,655,142",11.99%,-10.59%
Religion Related,46.03%,63,"$32,906,480",10.80%,0.69%
Unclassified,62.08%,451,"$723,370,345",10.70%,-5.86%
Universities,75.00%,8,"$39,141,592",3.89%,-3.48%
Total,59.83%,"2,634","$3,482,686,129",11.50%,-6.54%
