Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.86%,451,"$336,658,850",11.28%,-9.92%
Education (Excluding Universities),65.43%,541,"$3,701,797,497",9.69%,-10.34%
Environment and Animals,47.83%,184,"$196,323,062",13.92%,0.40%
Health (Excluding Hospitals),66.43%,417,"$815,881,671",9.22%,-15.45%
Hospitals,48.33%,60,"$582,181,925",5.41%,0.27%
Human Services,69.28%,"1,452","$3,619,903,273",8.26%,-14.95%
"International, Foreign Affairs",50.68%,73,"$11,837,747",8.58%,-1.60%
Mutual/Membership Benefit,80.00%,5,"$431,713",-0.27%,-32.40%
"Public, Societal Benefit",63.26%,362,"$1,530,432,115",13.68%,-13.06%
Religion Related,49.79%,237,"$113,324,324",12.50%,0.65%
Unclassified,69.10%,919,"$5,858,740,734",8.51%,-14.92%
Universities,51.02%,49,"$1,062,509,250",7.79%,-1.70%
Total,65.05%,"4,750","$17,830,022,161",9.58%,-10.73%
