Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Tennessee,69.16%,"2,030","$3,759,003,111",8.54%,-16.99%
Anderson County,75.00%,24,"$17,428,517",9.23%,-19.89%
Bedford County,62.50%,8,"$4,849,600",3.92%,-17.57%
Benton County,100.00%,2,"$2,579,242",-9.31%,-97.56%
Bledsoe County,0.00%,1,"$21,144",29.50%,18.36%
Blount County,64.00%,25,"$16,210,720",12.28%,-14.08%
Bradley County,77.42%,31,"$77,653,791",0.99%,-17.31%
Campbell County,100.00%,6,"$8,811,255",10.99%,-34.93%
Cannon County,100.00%,3,"$378,401",0.32%,-31.92%
Carroll County,100.00%,2,"$3,711,624",-2.48%,-6.50%
Carter County,45.45%,11,"$11,423,323",18.78%,4.72%
Cheatham County,100.00%,6,"$1,157,410",-1.75%,-38.37%
Chester County,75.00%,4,"$1,369,349",7.81%,-32.01%
Claiborne County,40.00%,5,"$3,877,961",18.04%,14.87%
Cocke County,80.00%,5,"$5,857,685",16.70%,-17.67%
Coffee County,75.00%,12,"$17,043,409",12.01%,-56.35%
Crockett County,0.00%,2,"$39,289",52.96%,45.79%
Cumberland County,78.95%,19,"$16,249,656",6.88%,-21.60%
Davidson County,64.90%,396,"$1,510,190,711",12.76%,-12.52%
DeKalb County,25.00%,4,"$167,127",16.94%,10.92%
Decatur County,100.00%,3,"$8,227,361",6.77%,-38.60%
Dickson County,63.64%,11,"$3,347,625",22.17%,-5.44%
Dyer County,85.71%,7,"$4,542,927",26.69%,-26.86%
Fayette County,80.00%,5,"$540,051",-1.94%,-15.19%
Franklin County,70.00%,10,"$4,793,429",8.64%,-34.91%
Gibson County,100.00%,2,"$591,443",26.06%,-32.10%
Giles County,100.00%,6,"$464,535",-23.40%,-74.47%
Grainger County,66.67%,3,"$1,524,576",15.83%,-6.61%
Greene County,73.33%,15,"$9,279,938",2.56%,-7.13%
Grundy County,33.33%,3,"$563,268",12.90%,3.38%
Hamblen County,93.65%,63,"$61,419,717",-8.19%,-51.25%
Hamilton County,58.96%,173,"$215,856,712",10.52%,-8.31%
Hardeman County,100.00%,3,"$4,489,075",52.88%,-40.75%
Hardin County,100.00%,4,"$7,488,491",14.15%,-26.98%
Hawkins County,75.00%,8,"$13,861,996",14.96%,-7.20%
Haywood County,100.00%,1,"$59,142",14.21%,-72.36%
Henderson County,100.00%,1,"$42,459",11.71%,-34.83%
Henry County,77.78%,9,"$7,833,956",1.28%,-77.14%
Hickman County,100.00%,5,"$1,414,821",1.09%,-65.61%
Houston County,100.00%,2,"$4,071,459",7.49%,-80.14%
Humphreys County,50.00%,2,"$1,456,721",21.48%,-20.06%
Jackson County,100.00%,1,"$40,126",0.99%,-6.13%
Jefferson County,71.43%,7,"$6,874,844",9.05%,-17.14%
Johnson County,40.00%,5,"$1,009,271",25.48%,15.23%
Knox County,67.24%,174,"$309,724,787",10.22%,-7.50%
Lake County,100.00%,1,"$2,798,890",6.16%,-61.74%
Lauderdale County,100.00%,1,"$66,948",27.24%,-32.91%
Lawrence County,88.89%,9,"$1,277,500",11.92%,-42.91%
Lewis County,90.91%,11,"$8,533,336",-23.98%,-72.67%
Lincoln County,100.00%,6,"$28,051,306",-0.53%,-56.39%
Loudon County,69.23%,13,"$8,450,932",17.35%,-49.53%
Macon County,0.00%,1,"$57,723",21.72%,5.28%
Madison County,82.35%,34,"$45,928,278",2.52%,-21.73%
Marion County,50.00%,4,"$357,878",9.04%,-22.83%
Marshall County,40.00%,5,"$197,678",11.98%,1.24%
Maury County,64.71%,17,"$3,592,849",6.80%,-24.93%
McMinn County,100.00%,12,"$11,574,601",3.51%,-35.19%
