Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",45.83%,72,"$19,304,902",12.86%,2.18%
Education (Excluding Universities),69.05%,84,"$35,716,156",8.54%,-12.47%
Environment and Animals,50.00%,44,"$21,795,168",16.19%,-0.45%
Health (Excluding Hospitals),71.08%,83,"$94,080,771",9.77%,-20.60%
Human Services,70.31%,192,"$140,941,242",7.45%,-11.49%
"International, Foreign Affairs",80.00%,5,"$8,315,083",2.11%,-47.00%
"Public, Societal Benefit",69.57%,46,"$65,493,643",7.08%,-30.22%
Religion Related,50.00%,2,"$732,941",34.96%,-3.96%
Unclassified,71.35%,185,"$175,929,621",6.86%,-13.74%
Universities,62.50%,8,"$48,153,876",3.39%,-4.52%
Total,66.71%,721,"$610,463,403",8.62%,-10.12%
