Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",64.71%,51,"$27,443,485",12.83%,-14.05%
Education (Excluding Universities),79.69%,64,"$230,598,553",6.80%,-17.66%
Environment and Animals,51.85%,27,"$39,289,612",14.94%,-0.62%
Health (Excluding Hospitals),77.22%,79,"$164,202,542",9.71%,-10.92%
Hospitals,65.38%,26,"$87,188,411",4.78%,-8.49%
Human Services,76.36%,313,"$251,651,187",5.43%,-28.57%
"International, Foreign Affairs",66.67%,6,"$77,123,238",2.13%,-6.02%
"Public, Societal Benefit",86.15%,65,"$86,924,026",9.48%,-39.24%
Religion Related,60.00%,20,"$5,630,524",11.28%,-10.09%
Unclassified,76.54%,179,"$451,315,709",5.66%,-21.73%
Universities,76.92%,13,"$75,680,112",4.22%,-22.07%
Total,75.21%,843,"$1,497,047,399",7.13%,-20.99%
