Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.64%,99,"$31,548,330",11.45%,-14.06%
Education (Excluding Universities),55.77%,52,"$65,700,850",10.82%,-12.76%
Environment and Animals,58.06%,31,"$17,463,760",12.83%,-10.79%
Health (Excluding Hospitals),71.96%,107,"$163,863,732",8.25%,-16.67%
Hospitals,80.95%,21,"$64,588,137",7.22%,-5.07%
Human Services,74.73%,281,"$241,962,173",4.83%,-12.06%
"International, Foreign Affairs",100.00%,5,"$894,066",4.27%,-18.33%
"Public, Societal Benefit",68.49%,73,"$38,264,075",10.26%,-20.77%
Religion Related,42.42%,33,"$5,203,451",12.45%,1.79%
Unclassified,75.10%,257,"$378,917,996",6.61%,-13.69%
Universities,41.67%,12,"$35,676,514",11.14%,0.95%
Total,70.13%,971,"$1,044,083,084",8.02%,-11.92%
