Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Illinois,67.30%,"3,468","$9,986,549,815",8.22%,-13.23%
Adams County,76.47%,34,"$35,635,199",8.95%,-27.71%
Alexander County,100.00%,1,"$1,462,063",8.05%,-88.77%
Bond County,100.00%,2,"$8,192,228",8.69%,-36.22%
Boone County,100.00%,7,"$2,827,845",0.11%,-27.04%
Brown County,80.00%,5,"$1,203,398",-11.47%,-57.26%
Bureau County,64.29%,14,"$23,711,386",5.98%,-20.56%
Calhoun County,100.00%,1,"$39,048",2.60%,-6.22%
Carroll County,100.00%,5,"$1,478,234",-3.37%,-14.77%
Cass County,100.00%,3,"$6,380,770",-0.42%,-96.48%
Champaign County,64.00%,75,"$63,038,204",8.36%,-12.03%
Christian County,40.00%,5,"$7,443,968",9.85%,4.51%
Clark County,100.00%,2,"$1,717,638",2.99%,-16.76%
Clay County,0.00%,1,"$694,303",31.86%,9.42%
Clinton County,100.00%,3,"$1,193,662",8.80%,-23.59%
Coles County,75.00%,16,"$14,464,973",10.88%,-43.88%
Cook County,66.51%,"1,756","$7,087,249,278",8.54%,-12.03%
Crawford County,100.00%,3,"$1,810,489",-11.51%,-67.36%
Cumberland County,100.00%,3,"$22,132,076",14.35%,-10.71%
De Witt County,50.00%,2,"$88,631",11.43%,3.97%
DeKalb County,77.78%,18,"$32,360,375",7.96%,-43.21%
Douglas County,66.67%,3,"$484,933",22.01%,-11.23%
DuPage County,54.21%,190,"$260,936,637",11.40%,-1.75%
Edgar County,0.00%,4,"$996,213",30.05%,26.37%
Effingham County,80.00%,10,"$29,371,785",3.19%,-54.69%
Fayette County,25.00%,4,"$1,534,444",4.09%,3.35%
Ford County,33.33%,3,"$829,727",42.25%,11.68%
Franklin County,66.67%,3,"$12,945,672",17.72%,-10.58%
Fulton County,72.73%,11,"$8,695,560",9.40%,-8.61%
Greene County,100.00%,2,"$1,214,635",10.24%,-16.73%
Grundy County,60.00%,5,"$2,404,242",4.61%,-9.43%
Hamilton County,0.00%,1,"$806,891",73.41%,4.55%
Hancock County,33.33%,3,"$7,458,506",21.79%,0.84%
Hardin County,100.00%,1,"$1,674,516",-6.46%,-68.56%
Henderson County,50.00%,2,"$2,885,844",3.45%,-29.18%
Henry County,46.15%,13,"$1,997,325",2.38%,0.33%
Iroquois County,100.00%,6,"$2,771,909",1.76%,-54.94%
Jackson County,68.18%,22,"$26,890,597",4.41%,-40.74%
Jasper County,100.00%,1,"$104,787",-5.15%,-53.68%
Jefferson County,90.91%,11,"$14,933,325",0.79%,-60.97%
Jersey County,100.00%,2,"$292,485",2.13%,-52.08%
Jo Daviess County,45.45%,11,"$5,522,603",17.11%,2.14%
Johnson County,100.00%,1,"$7,454,451",1.72%,-56.29%
Kane County,68.93%,103,"$158,330,811",5.90%,-16.63%
Kankakee County,70.37%,27,"$35,503,538",5.69%,-24.75%
Kendall County,62.50%,8,"$2,355,882",4.12%,-17.74%
Knox County,69.23%,26,"$26,854,740",5.38%,-6.90%
LaSalle County,75.76%,33,"$12,365,527",2.94%,-9.15%
Lake County,55.93%,118,"$91,002,837",11.67%,-4.83%
Lawrence County,100.00%,1,"$185,362",-22.35%,-68.64%
Lee County,84.62%,13,"$18,668,377",2.27%,-16.76%
Livingston County,75.00%,8,"$5,897,794",9.95%,-6.76%
Logan County,75.00%,12,"$20,359,589",-4.10%,-14.52%
Macon County,83.33%,36,"$51,066,267",0.77%,-40.62%
Macoupin County,50.00%,10,"$18,842,767",14.72%,-7.20%
Madison County,73.08%,52,"$61,489,123",6.80%,-11.66%
Marion County,75.00%,12,"$18,799,349",7.12%,-11.22%
Marshall County,75.00%,8,"$1,220,966",-0.28%,-43.39%
Mason County,66.67%,3,"$1,302,139",10.02%,-14.35%
Massac County,100.00%,3,"$994,095",14.89%,-31.26%
McDonough County,70.00%,10,"$8,743,635",14.16%,-12.15%
McHenry County,61.90%,42,"$23,873,733",13.28%,-11.23%
McLean County,66.67%,51,"$597,695,802",10.90%,-26.63%
Menard County,100.00%,3,"$220,201",1.58%,-30.03%
Mercer County,50.00%,4,"$1,260,828",12.08%,-2.81%
Monroe County,50.00%,2,"$535,244",39.25%,-5.27%
Montgomery County,80.00%,5,"$1,144,703",5.19%,-55.44%
Morgan County,83.33%,12,"$12,108,399",6.23%,-50.47%
Moultrie County,66.67%,6,"$1,502,128",15.81%,-20.22%
Ogle County,72.73%,11,"$6,283,653",6.89%,-15.56%
Peoria County,66.25%,80,"$113,459,689",7.11%,-9.85%
Perry County,85.71%,7,"$8,255,522",5.87%,-49.84%
Piatt County,0.00%,2,"$426,671",15.81%,6.66%
Pike County,100.00%,1,"$51,224",-237.53%,-260.68%
