Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",42.31%,104,"$31,922,906",27.59%,9.10%
Education (Excluding Universities),63.27%,98,"$64,230,683",9.05%,-10.36%
Environment and Animals,37.33%,75,"$23,170,295",24.82%,13.63%
Health (Excluding Hospitals),73.08%,78,"$118,304,241",9.04%,-13.74%
Hospitals,50.00%,10,"$40,484,996",5.18%,-2.75%
Human Services,64.76%,227,"$272,920,387",8.41%,-9.87%
"International, Foreign Affairs",55.56%,9,"$14,730,860",14.71%,-22.62%
"Public, Societal Benefit",64.00%,50,"$76,253,224",14.33%,-8.92%
Religion Related,16.67%,6,"$781,123",22.23%,18.76%
Unclassified,68.60%,207,"$431,161,746",6.96%,-10.13%
Universities,45.45%,11,"$51,188,684",10.93%,0.07%
Total,60.34%,875,"$1,125,149,145",11.09%,-7.21%
