Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",70.73%,41,"$18,078,158",21.37%,-17.90%
Education (Excluding Universities),81.94%,72,"$366,388,657",6.49%,-31.06%
Environment and Animals,62.86%,35,"$28,011,214",5.20%,-11.22%
Health (Excluding Hospitals),75.00%,72,"$190,594,606",5.31%,-36.66%
Hospitals,57.14%,7,"$33,182,877",4.80%,-2.88%
Human Services,72.79%,147,"$353,853,628",6.69%,-24.23%
"International, Foreign Affairs",33.33%,3,"$6,372,205",17.05%,12.58%
Mutual/Membership Benefit,100.00%,2,"$633,363",45.74%,-31.73%
"Public, Societal Benefit",75.61%,41,"$73,766,791",9.69%,-23.75%
Religion Related,25.00%,4,"$140,770",23.98%,19.39%
Unclassified,77.33%,75,"$170,484,000",5.45%,-31.42%
Universities,75.00%,4,"$10,545,434",-8.76%,-35.44%
Total,73.76%,503,"$1,252,051,703",7.25%,-23.82%
