EIN2,CENSUS_REGION,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,CONGRESS_DISTRICT_NAME,SUBSECTOR,EXPENSE_CATEGORY,GOVERNMENT_GRANT_DOLLAR_AMOUNT,PROFIT_MARGIN,PROFIT_MARGIN_NOGOVTGRANT,AT_RISK_NUM
EIN-83-3942865,West North Central,St. Louis city,Missouri,1st Congressional district,Education,$1M to $4.9M,4305050,0.252299907320493,-0.546958730884852,1
EIN-86-0593601,Mountain,Maricopa County,Arizona,3rd Congressional district,Unclassified,$5M to $9.9M,9014126,0.0369869656914769,-0.937693853509056,1
EIN-38-3260804,East North Central,Macomb County,Michigan,10th Congressional district,Human services,$500K to $999K,364354,-0.408566989281591,-0.972427102129754,1
EIN-77-0385016,Pacific,Santa Cruz County,California,19th Congressional district,"Public, societal benefit",$500K to $999K,6353877,0.920965793162748,-0.06948738768918,1
EIN-20-5892440,Mid-Atlantic,New York County,New York,10th Congressional district,Human services,$1M to $4.9M,1783272,-0.221788489198158,-1.14907976608576,1
EIN-02-0228242,New England,Belknap County,New Hampshire,1st Congressional district,Health,$5M to $9.9M,277671,0.0595597969157788,0.0267867596792652,0
EIN-83-1734958,Pacific,San Juan County,Washington,2nd Congressional district,Human services,$100K to $499K,5000,0.869246281808706,0.866003060303812,0
EIN-84-1743835,Mid-Atlantic,Nassau County,New York,4th Congressional district,"Public, societal benefit",$500K to $999K,352463,-0.0536672010396306,-0.522969604652773,1
EIN-23-1410936,Mid-Atlantic,Montgomery County,Pennsylvania,4th Congressional district,Education,$500K to $999K,415000,-0.132546773083642,-0.946162185900339,1
EIN-77-0305354,Pacific,Santa Cruz County,California,18th Congressional district,"Public, societal benefit",$1M to $4.9M,775076,0.378462018901872,0.102154311457018,0
EIN-36-4021594,West South Central,Dallas County,Texas,33rd Congressional district,Unclassified,$10M or more,111261,-0.0750067301120898,-0.0772267093626734,1
EIN-23-7326213,New England,Windsor County,Vermont,Congressional district (at large),Health,$1M to $4.9M,910030,-0.0473821761527729,-0.572285115570011,1
EIN-81-4669534,Mid-Atlantic,Kings County,New York,11th Congressional district,Education,$5M to $9.9M,1435711,0.0250618606074313,-0.124155132933789,1
EIN-45-2279605,Mid-Atlantic,Philadelphia County,Pennsylvania,3rd Congressional district,Human services,$100K to $499K,320060,-0.166849081466553,-1.15920626308038,1
EIN-74-1173235,West South Central,Harris County,Texas,7th Congressional district,Unclassified,$5M to $9.9M,3604052,-0.0743225547015096,-0.569297002220349,1
EIN-52-1038833,South Atlantic,Talbot County,Maryland,1st Congressional district,Environment and animals,$500K to $999K,122323,0.783859467978154,0.75062223188327,0
EIN-93-1319372,Pacific,Lane County,Oregon,4th Congressional district,Education,$1M to $4.9M,439156,0.0796482471520283,-0.0519043943044461,1
EIN-95-1809576,Pacific,Riverside County,California,41st Congressional district,"Arts, culture, and humanities",$5M to $9.9M,725000,-0.0635375096187554,-0.161895727807401,1
EIN-54-0506491,South Atlantic,Norfolk city,Virginia,3rd Congressional district,Human services,$1M to $4.9M,1350806,-0.328094938631507,-0.928014819394185,1
