SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-1 054,0,3 002,0,"$11,806,958,260",21.30%,7.325%,4.54%,5.37%,7.188%,6539
ART,-32,0,254,0,"$1,454,251,705",23.70%,10.977%,6.31%,2.89%,2.035%,3489
EDU,-102,0,330,0,"$8,162,577,424",15.35%,3.039%,1.48%,1.78%,9.304%,5890
ENV,-132,0,96,0,"$1,548,876,336",22.92%,6.530%,3.00%,2.48%,4.207%,2496
HEL,-48 902,0,982,0,"$6,424,419,471",20.00%,6.511%,3.52%,3.12%,5.421%,3210
HMS,-14,0,384,0,"$16,839,530,702",15.64%,4.746%,3.80%,4.19%,5.322%,13716
HOS,8,0,10,0,"$1,310,299,905",39.11%,3.960%,1.98%,0.50%,2.475%,202
IFA,20,0,956,0,"$1,608,329,136",16.16%,2.518%,0.94%,0.73%,1.994%,953
MMB,-48,-6,20,0,"$33,189,916",2.19%,0.354%,0.28%,0.28%,0.142%,1413
PSB,-24,0,894,0,"$2,879,628,342",13.74%,4.227%,2.69%,2.35%,3.371%,7475
REL,-1 110,0,-20,0,"$260,337,517",10.96%,1.239%,0.59%,0.99%,1.289%,2017
UNI,-36,-2,6,0,"$1,988,360,764",43.92%,3.529%,1.18%,1.57%,1.569%,255
UNU,-32,0,22,0,"$187,267,071",14.01%,5.314%,4.83%,3.38%,7.246%,207
