SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-14,0,42,0,"$1,281,264,178",20.04%,4.580%,4.771%,4.39%,8.21%,524
ART,-24,0,34,0,"$136,447,090",24.52%,9.677%,2.581%,4.52%,1.94%,155
EDU,12,0,24,0,"$219,300,599",10.07%,3.472%,2.083%,2.08%,9.72%,288
ENV,-38,0,0,0,"$22,645,446",16.67%,7.143%,2.381%,1.19%,5.95%,84
HEL,-2,0,84,0,"$136,874,551",17.17%,3.535%,6.061%,1.52%,5.56%,198
HMS,-10,0,68 276,0,"$358,174,375",15.89%,6.525%,4.823%,5.39%,6.67%,705
HOS,2,0,34,10,"$17,720,405",21.43%,3.571%,7.143%,7.14%,3.57%,28
IFA,-8,0,4,2,"$3,737,895",23.26%,2.326%,2.326%,4.65%,2.33%,43
MMB,,,36,0,$0,25.00%,25.000%,25.000%,25.00%,25.00%,4
PSB,-32,0,16,0,"$35,143,354",9.50%,3.719%,2.893%,2.89%,4.13%,242
REL,-6,0,14,0,"$163,732,884",10.99%,1.571%,0.524%,0.52%,1.57%,191
UNI,-8,-8,0,0,"$72,978,337",55.56%,11.111%,5.556%,11.11%,5.56%,18
UNU,-6,-4,52,52,"$239,504",28.57%,28.571%,14.286%,14.29%,14.29%,7
