SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-6,-2,58,0,"$138,231,874",19.50%,6.29%,6.92%,13.84%,10.69%,159
ART,14,0,46,0,"$11,516,449",33.33%,21.05%,5.26%,1.75%,5.26%,57
EDU,-28,-2,16,0,"$43,432,488",12.36%,3.37%,3.37%,1.12%,12.36%,89
ENV,-14,0,0,0,"$4,617,560",26.32%,3.51%,8.77%,5.26%,5.26%,57
HEL,-46,0,178,0,"$51,600,054",9.52%,9.52%,7.94%,11.11%,11.11%,63
HMS,0,0,12,0,"$136,341,570",19.72%,8.26%,3.21%,6.42%,10.55%,218
HOS,-14,-8,,,"$14,382,139",100.00%,25.00%,25.00%,25.00%,25.00%,4
MMB,6,6,422,422,$0,33.33%,33.33%,33.33%,33.33%,33.33%,3
PSB,14,0,14,0,"$12,449,017",17.65%,5.88%,5.88%,4.41%,5.88%,68
REL,68,-8,20,0,"$356,098",16.67%,4.17%,4.17%,4.17%,4.17%,24
UNI,6,6,118,118,"$1,116,784",50.00%,100.00%,50.00%,50.00%,50.00%,2
UNU,2,2,,,"$27,477",100.00%,100.00%,100.00%,100.00%,100.00%,1
