SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",0,0,798,0,"$1,077,566,970",25.18%,6.98%,4.35%,3.033%,4.044%,989
ART,-16,-2,34,0,"$110,682,115",26.51%,11.74%,7.05%,1.342%,1.007%,298
EDU,-6,0,38,0,"$953,202,520",13.35%,4.20%,2.38%,3.291%,15.174%,547
ENV,-96,0,20,0,"$43,503,898",17.24%,9.20%,4.02%,2.299%,1.724%,174
HEL,84,0,72,0,"$413,707,683",18.89%,6.30%,5.54%,4.534%,5.290%,397
HMS,-34,0,48,0,"$890,266,722",21.54%,7.27%,5.65%,5.085%,5.155%,1416
HOS,-216,2,232,10,"$194,711,983",55.77%,9.62%,7.69%,3.846%,1.923%,52
IFA,2,0,2,0,"$118,048,951",14.02%,1.87%,0.93%,1.869%,0.935%,107
MMB,-12,-12,0,0,$0,33.33%,33.33%,33.33%,33.333%,33.333%,3
PSB,-114,2,68,0,"$188,916,724",14.49%,4.01%,5.41%,4.014%,5.236%,573
REL,-16,0,324,0,"$28,256,067",12.81%,2.85%,0.71%,0.356%,1.779%,281
UNI,-32,-10,0,0,"$313,509,590",77.42%,3.23%,3.23%,3.226%,3.226%,31
UNU,4,2,0,0,"$487,295",28.57%,14.29%,14.29%,28.571%,14.286%,7
