SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-10,0,-178,0,"$2,410,910,800",21.01%,7.87%,6.11%,5.38%,6.729%,966
ART,-36,0,12,0,"$205,736,657",18.47%,18.18%,9.09%,3.98%,2.273%,352
EDU,-4,0,38,0,"$1,297,305,963",13.70%,5.11%,1.84%,0.82%,6.851%,978
ENV,-22,0,6,0,"$49,192,155",17.81%,5.94%,2.74%,3.65%,1.370%,219
HEL,-186,2,-10 530,0,"$989,326,331",19.91%,8.17%,6.98%,4.16%,4.606%,673
HMS,50,0,1 854,0,"$2,059,466,029",17.12%,6.66%,5.60%,5.07%,6.181%,1893
HOS,1 624,4,-400,0,"$1,744,098,577",30.95%,9.52%,2.38%,2.38%,4.762%,42
IFA,8,0,22,0,"$3,991,612",9.03%,1.29%,1.29%,1.29%,0.645%,155
MMB,54,-20,2,0,"$17,700",14.29%,7.14%,7.14%,7.14%,7.143%,14
PSB,-38,0,4 712,0,"$304,135,578",11.41%,3.24%,2.90%,3.41%,6.133%,587
REL,-7 724,0,16,0,"$49,425,693",11.92%,2.07%,0.52%,0.52%,1.295%,386
UNI,-6,-4,6,0,"$882,399,964",72.41%,6.90%,3.45%,6.90%,3.448%,29
UNU,-2,2,8,0,"$20,396,973",16.67%,13.33%,6.67%,6.67%,13.333%,30
