SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-90,0,24,0,"$2,968,978,658",26.42%,9.547%,4.629%,6.75%,7.618%,1037
ART,62,0,70,0,"$251,619,825",30.21%,10.833%,7.500%,3.75%,1.250%,480
EDU,-2,0,1 654,0,"$381,000,786",20.50%,5.162%,2.950%,1.33%,1.917%,678
ENV,-14,0,38,0,"$446,054,153",25.85%,10.227%,3.693%,2.56%,5.966%,352
HEL,36,0,4 612,0,"$949,224,706",21.12%,9.924%,4.835%,4.83%,6.870%,393
HMS,-8,2,1 238,0,"$2,449,916,429",22.58%,8.573%,5.310%,7.74%,6.846%,1563
HOS,10,0,56,8,"$687,628,647",47.22%,2.778%,5.556%,2.78%,2.778%,36
IFA,4,0,54,0,"$630,833,044",19.11%,3.822%,0.637%,1.91%,2.548%,157
MMB,-156,-156,0,0,$0,25.00%,25.000%,25.000%,25.00%,25.000%,4
PSB,-72,2,160,0,"$322,401,939",16.37%,8.633%,6.115%,3.96%,7.734%,556
REL,-4,0,28,0,"$37,888,931",14.12%,1.908%,1.527%,1.53%,1.527%,262
UNI,-2,-4,0,0,"$111,469,840",66.67%,7.407%,3.704%,7.41%,3.704%,27
UNU,-44,0,0,0,"$25,046,964",16.67%,16.667%,12.500%,8.33%,8.333%,24
